GENE	P
ANTXR2	0.85984
PRDM8	0.3109
FGF5	0.51619
CFAP299	0.60462
BMP3	0.86294
PRKG2	0.96119
RASGEF1B	0.17964
HNRNPD	0.34767
HNRNPDL	0.016079
ENOPH1	0.011647
TMEM150C	0.4876
SCD5	0.62202
SEC31A	0.47378
THAP9	0.14291
LIN54	0.10025
COPS4	0.19479
PLAC8	0.89178
COQ2	0.89659
HPSE	0.90842
HELQ	0.15615
MRPS18C	0.11549
ABRAXAS1	0.093694
GPAT3	0.14371
NKX6-1	0.8996
CDS1	0.89344
WDFY3	0.94788
ARHGAP24	0.59644
MAPK10	9.5293e-4
PTPN13	0.92633
SLC10A6	0.76273
C4orf36	0.61178
AFF1	0.1053
KLHL8	0.42954
HSD17B13	0.85326
HSD17B11	0.59697
NUDT9	0.5396
SPARCL1	0.075825
DSPP	0.15248
DMP1	0.25975
IBSP	0.64847
MEPE	0.83653
SPP1	0.8573
PKD2	0.40966
ABCG2	0.65988
PPM1K	0.95546
HERC6	0.27386
HERC5	0.89037
PIGY	0.54663
PYURF	0.54663
HERC3	0.30194
NAP1L5	0.51803
FAM13A	0.2894
TIGD2	0.1704
GPRIN3	0.068517
SNCA	0.005488
MMRN1	0.28769
CCSER1	0.53733
GRID2	0.21073
SMARCAD1	0.0040826
HPGDS	0.0074701
PDLIM5	0.73992
BMPR1B	0.0012068
UNC5C	0.066635
PDHA2	0.9237
STPG2	0.35831
RAP1GDS1	0.39101
TSPAN5	0.0069616
EIF4E	0.0023657
METAP1	0.28937
ADH5	0.11938
ADH4	0.46468
ADH6	0.65498
ADH1A	0.82399
ADH1B	0.88278
ADH1C	0.60128
ADH7	0.94179
C4orf17	0.47236
TRMT10A	0.51458
MTTP	0.57733
C4orf54	0.61697
DAPP1	0.0054785
LAMTOR3	0.036835
DNAJB14	0.016035
H2AZ1	0.0065257
DDIT4L	0.16934
EMCN	0.026934
PPP3CA	0.019944
BANK1	0.32226
SLC39A8	0.20683000000000001
NFKB1	0.2588
MANBA	0.68462
UBE2D3	0.21839
CISD2	0.20741
SLC9B1	0.20609
SLC9B2	0.10884
BDH2	0.3279
CENPE	0.32088
TACR3	0.27778
CXXC4	0.11323
TET2	6.6344e-6
PPA2	0.49131
ARHGEF38	0.4821
INTS12	0.85414
GSTCD	0.89863
NPNT	0.49055
TBCK	0.30327
AIMP1	0.55936
GIMD1	0.021942
DKK2	0.36549
PAPSS1	0.031226
SGMS2	0.34234
CYP2U1	0.45966
HADH	0.43294
LEF1	0.43414
RPL34	0.67238
OSTC	0.17046
ETNPPL	0.11355
COL25A1	0.36413
SEC24B	0.15371
MCUB	0.019766
CASP6	0.052275
PLA2G12A	0.17094
CFI	0.8951
GAR1	0.38157
RRH	0.3111
LRIT3	0.31108
EGF	0.5952
ELOVL6	0.51262
ENPEP	0.47666
PITX2	0.23538
FAM241A	0.84543
AP1AR	0.94704
TIFA	0.83484
ALPK1	0.12309
NEUROG2	0.24984
ZGRF1	0.18569
LARP7	0.077524
ANK2	0.0013071
CAMK2D	0.45595
ARSJ	0.45322
UGT8	0.70861
NDST4	0.77284
TRAM1L1	0.2338
NDST3	0.0011164
PRSS12	0.13035
METTL14	0.13719
SEC24D	0.25911
SYNPO2	0.18203
MYOZ2	0.39277
USP53	0.68319
C4orf3	0.87156
FABP2	0.62266
PDE5A	0.76374
MAD2L1	0.56715
PRDM5	0.43991
NDNF	0.36065
TNIP3	0.93203
QRFPR	0.99144
ANXA5	0.10876
SMIM43	0.21838
EXOSC9	0.59126
CCNA2	0.50658
BBS7	0.74501
TRPC3	0.071998
BLTP1	1.5668e-4
ADAD1	3.4857e-4
IL2	4.2456e-6
IL21	8.114e-5
BBS12	0.20343
FGF2	0.067766
NUDT6	0.20365
SPATA5	0.40488
SPRY1	0.9641
ANKRD50	0.27662
FAT4	0.31984
INTU	0.44885
SLC25A31	0.57448
HSPA4L	0.4579
PLK4	0.48151
MFSD8	0.51071
ABHD18	0.58276
LARP1B	0.16163
PGRMC2	0.092142
JADE1	6.5493e-5
SCLT1	6.4317e-6
C4orf33	2.01e-5
PCDH10	0.30538
PABPC4L	0.22907
PCDH18	0.65672
SLC7A11	0.5508
NOCT	0.78188
ELF2	0.63984
MGARP	0.50035
NDUFC1	0.42292
NAA15	0.38378
RAB33B	0.68118
SETD7	0.69451
MGST2	0.7337
MAML3	0.0061223
SCOC	0.73437
CLGN	0.96171
MGAT4D	0.99
ELMOD2	0.9201
UCP1	0.74061
TBC1D9	0.23624
RNF150	0.92892
ZNF330	0.3285
IL15	0.48426
INPP4B	9.4078e-5
USP38	0.065609
GAB1	0.70023
SMARCA5	0.7288
FREM3	0.7239
GYPE	0.58226
GYPB	0.86759
GYPA	0.29185
HHIP	0.36504
ANAPC10	0.29786
ABCE1	0.78584
OTUD4	0.25471
SMAD1	0.8604
MMAA	0.74137
C4orf51	0.98832
ZNF827	0.039583
LSM6	0.031836
SLC10A7	0.0012336
POU4F2	0.043346
TTC29	0.023292
EDNRA	0.58582
TMEM184C	0.20115
PRMT9	0.18233
ARHGAP10	0.05838
NR3C2	0.038699
IQCM	0.47892
DCLK2	0.76553
LRBA	0.92695
MAB21L2	0.83122
RPS3A	0.54678
SH3D19	0.25895
PRSS48	0.67198
FHIP1A	0.24068
GATB	0.016886
FBXW7	0.39805
TMEM154	0.1126
TIGD4	0.575
ARFIP1	0.19756
FHDC1	0.35355
TRIM2	0.90775
MND1	0.3981
TMEM131L	0.86524
TLR2	0.049087
RNF175	0.14716
SFRP2	0.33753
DCHS2	0.26533
PLRG1	0.5637
FGB	0.67384
FGA	0.040353
FGG	0.03884
LRAT	0.54982
RBM46	0.8036
NPY2R	0.61801
MAP9	0.030356
GUCY1A1	0.31325
GUCY1B1	0.40668
ASIC5	0.50895
TDO2	0.63524
CTSO	0.38251
PDGFC	0.022067
GLRB	0.18475
GRIA2	0.012374
GASK1B	0.060794
TMEM144	0.60432
RXFP1	0.5163
C4orf46	0.8911
ETFDH	0.89467
PPID	0.77565
FNIP2	0.71926
C4orf45	0.59666
RAPGEF2	0.45677
FSTL5	0.049026
NAF1	0.86913
NPY1R	0.034586
NPY5R	0.33318
TKTL2	0.5578
TMA16	0.11401
MARCHF1	0.036279
ANP32C	0.034361
APELA	0.97144
FAM218BP	0.70398
TRIM61	0.43386
FAM218A	0.36808
TRIM60	0.43327
TMEM192	0.87573
KLHL2	0.022775
MSMO1	0.23791
CPE	0.011619
TLL1	0.0028721
SPOCK3	0.070557
ANXA10	0.58486
DDX60	0.93984
DDX60L	0.67043
PALLD	0.82987
CBR4	0.46844
SH3RF1	0.334
NEK1	0.30393
CLCN3	0.22722
HPF1	0.85695
MFAP3L	0.0025647
AADAT	0.087652
GALNTL6	0.99037
GALNT7	0.30717
HMGB2	0.089106
SAP30	0.59736
SCRG1	0.011502
HAND2	0.7694
FBXO8	0.61796
CEP44	0.4611
HPGD	0.8271
GLRA3	0.047967
ADAM29	0.056237
GPM6A	0.0033045
WDR17	0.16921
SPATA4	0.31669
ASB5	0.64722
SPCS3	0.39743
VEGFC	0.92795
NEIL3	0.4125
AGA	0.91869
AGA-DT	0.90016
TENM3	0.063387
DCTD	0.71057
WWC2	0.22616
CLDN22	0.4167
CLDN24	0.0074518
CDKN2AIP	0.085925
ING2	0.19022
RWDD4	0.83808
TRAPPC11	0.025232
STOX2	0.10968
ENPP6	0.20626
IRF2	0.10258
CASP3	0.036775
PRIMPOL	0.023715
CENPU	0.03595
ACSL1	0.31212
HELT	0.86825
SLC25A4	0.99761
CFAP97	0.99049
SNX25	0.95981
LRP2BP	0.88354
ANKRD37	0.91525
UFSP2	0.9635
C4orf47	0.91695
CCDC110	0.92216
PDLIM3	0.99289
SORBS2	0.041132
TLR3	0.047556
FAM149A	0.76873
CYP4V2	0.4092
KLKB1	0.077974
F11	0.039586
MTNR1A	0.054361
FAT1	0.055127
ZFP42	0.81594
TRIML2	0.12311
TRIML1	0.096318
FRG1	0.29842
PLEKHG4B	0.54973
LRRC14B	0.56831
CCDC127	0.95719
SDHA	0.61631
PDCD6	0.85645
AHRR	0.64558
EXOC3	0.22068
SLC9A3	0.33602
CEP72	0.44499
TPPP	0.85896
ZDHHC11B	0.13235
ZDHHC11	0.48916
BRD9	0.68735
TRIP13	0.33048
NKD2	0.91386
SLC12A7	0.22969
SLC6A19	0.84888
SLC6A18	0.85461
TERT	0.060363
CLPTM1L	0.72563
SLC6A3	0.16519
LPCAT1	0.2283
MRPL36	0.96906
NDUFS6	0.98449
IRX4	0.49314
IRX2	0.22455
IRX2-DT	0.57932
IRX1	0.0046169
ADAMTS16	0.91402
ICE1	0.097943
MED10	0.69302
UBE2QL1	0.15099
NSUN2	3.6456e-4
SRD5A1	0.103
TENT4A	0.034701
ADCY2	1.0718e-6
CFAP90	6.5749e-4
MTRR	0.30992
FASTKD3	0.56628
SEMA5A	0.66585
TAS2R1	0.32734
ATPSCKMT	0.50846
CCT5	0.30817
CMBL	0.26213
MARCHF6	0.18953
ROPN1L	0.19779
ANKRD33B	0.91194
DAP	0.5234
CTNND2	0.014653
DNAH5	0.63298
TRIO	0.11506
OTULINL	0.73581
OTULIN	0.52488
ANKH	0.56734
FBXL7	0.25878
MARCHF11	0.38828
ZNF622	0.1276
RETREG1	0.3766
MYO10	0.45917
BASP1	0.015048
CDH18	0.86798
CDH12	0.87249
PRDM9	0.36507
CDH10	0.092479
CDH9	0.014334
CDH6	0.93888
DROSHA	0.46962
C5orf22	0.62573
PDZD2	0.12256
GOLPH3	0.58779
MTMR12	0.45957
ZFR	0.096175
SUB1	0.81203
NPR3	0.77945
TARS1	0.88666
ADAMTS12	0.35979
RXFP3	0.13512
SLC45A2	0.36512
AMACR	0.51033
C1QTNF3	0.65704
RAI14	0.78448
TTC23L	0.24294
RAD1	0.25322
BRIX1	0.18536
DNAJC21	0.074343
AGXT2	0.85928
PRLR	0.034649
SPEF2	0.88515
IL7R	0.52959
CAPSL	0.18443
UGT3A1	0.12266
UGT3A2	0.035485
LMBRD2	0.010576
SKP2	0.11395
NADK2	0.22217
RANBP3L	0.26044
SLC1A3	0.018574
NIPBL	0.61631
CPLANE1	0.81402
NUP155	0.9419
WDR70	0.91368
GDNF	0.43264
GDNF-AS1	0.069784
EGFLAM	0.25442
LIFR	0.34392
OSMR	0.060921
RICTOR	0.045825
FYB1	0.24074
C9	0.4459
DAB2	0.10786
PTGER4	0.39108
TTC33	0.45811
PRKAA1	0.47328
RPL37	0.83692
CARD6	0.50511
C7	0.66422
MROH2B	0.36755
C6	0.86735
PLCXD3	0.65322
OXCT1	0.2399
RIMOC1	0.066204
FBXO4	0.1001
GHR	0.75539
CCDC152	0.77057
SELENOP	0.79779
ANXA2R	0.7921
ZNF131	0.23874
NIM1K	0.23152
HMGCS1	0.2555
CCL28	0.69371
TMEM267	0.35653
C5orf34	0.41714
PAIP1	0.64638
NNT	0.51974
FGF10	0.62612
MRPS30	5.1218e-4
HCN1	0.047786
EMB	0.5176
PARP8	0.56276
ISL1	0.91453
PELO	0.0054542
ITGA1	0.46416
ITGA2	0.87628
MOCS2	0.86096
FST	0.0017617
NDUFS4	0.66078
ARL15	0.0086657
HSPB3	0.89781
SNX18	0.21797
ESM1	0.69164
GZMK	0.18206
GZMA	0.062734
CDC20B	0.1537
GPX8	0.18428
MCIDAS	0.49046
CCNO	0.59152
DHX29	0.88813
MTREX	0.80829
PLPP1	0.96352
SLC38A9	0.26759
DDX4	0.99185
IL31RA	0.50651
IL6ST	0.83165
ANKRD55	0.79686
C5orf67	0.24173
MAP3K1	0.18175
SETD9	0.26324
MIER3	0.29207
GPBP1	0.78225
ACTBL2	0.36738
PLK2	0.46714
GAPT	0.82221
RAB3C	0.020653
PDE4D	0.0017556
DEPDC1B	0.92403
ELOVL7	0.48644
ERCC8	0.46125
NDUFAF2	0.26753
SMIM15	0.082319
ZSWIM6	0.0032983
C5orf64	0.86581
KIF2A	0.19454
DIMT1	0.34035
IPO11	0.22624
LRRC70	0.54973
HTR1A	0.13732
RNF180	0.26817
RGS7BP	0.10121
SHISAL2B	0.22096
SREK1IP1	0.1837
CWC27	0.070153
ADAMTS6	0.15138
CENPK	0.031995
PPWD1	0.093058
TRIM23	0.076869
TRAPPC13	0.052554
SGTB	0.17607
NLN	0.12539
ERBIN	0.30776
SREK1	0.12919
MAST4	0.30997
CD180	0.61815
PIK3R1	0.20135
SLC30A5	0.057768
CCNB1	0.11259
CENPH	0.17136
MRPS36	0.1508
CDK7	0.43109
CCDC125	0.3387
TAF9	0.32002
RAD17	0.26917
MARVELD2	0.27343
OCLN	0.13589
GTF2H2C	0.03526
NAIP	0.57549
BDP1	0.082777
MCCC2	0.25917
CARTPT	0.40584
MAP1B	0.24258
MRPS27	0.04826
PTCD2	0.10532
ZNF366	0.16532
TNPO1	0.045861
FCHO2	0.012739
TMEM171	0.014625
TMEM174	0.2132
FOXD1	0.33438
BTF3	0.31327
ANKRA2	0.92457
UTP15	0.93093
ARHGEF28	0.86705
ENC1	0.40529
HEXB	0.09826
GFM2	0.35558
NSA2	0.22541
FAM169A	0.21986
GCNT4	0.0048126
ANKRD31	0.0062739
HMGCR	0.08229
CERT1	0.031094
POLK	0.032715
ANKDD1B	0.26508
POC5	0.14633
SV2C	0.5003
IQGAP2	0.22301
F2RL2	0.19484
F2R	0.023146
F2RL1	0.15894
S100Z	0.0075725
CRHBP	0.011961
AGGF1	0.50024
ZBED3	0.49983
PDE8B	0.43441
WDR41	0.60698
OTP	0.12347
TBCA	0.78294
AP3B1	0.051829
SCAMP1	0.0010619
LHFPL2	0.01874
ARSB	0.045697
DMGDH	0.30625
BHMT2	0.31144
BHMT	0.39177
JMY	0.35957
HOMER1	0.026975
TENT2	0.040626
CMYA5	0.72246
MTX3	0.0099494
THBS4	0.0015653
SERINC5	0.1143
SPZ1	0.0025658
ZFYVE16	0.10159
FAM151B	0.0048921
ANKRD34B	0.11818
DHFR	3.5576e-4
MTRNR2L2	0.015289
MSH3	3.0806e-5
RASGRF2	0.25806
CKMT2	0.80909
ZCCHC9	0.81096
ACOT12	0.042839
SSBP2	1.7727e-8
ATG10	0.51829
RPS23	0.27388
ATP6AP1L	0.25296
TMEM167A	0.61296
XRCC4	0.82294
VCAN	0.48021
HAPLN1	0.1824
EDIL3	0.0016657
COX7C	0.29136
RASA1	0.39277
CCNH	0.38879
TMEM161B	0.26891
MEF2C	0.29343
CETN3	0.026673
MBLAC2	0.29402
POLR3G	0.010088
LYSMD3	8.437e-5
ADGRV1	1.1275e-4
ARRDC3	0.53607
NR2F1	0.06559
FAM172A	0.10458
KIAA0825	0.0030548
SLF1	2.6803e-4
MCTP1	6.4465e-4
FAM81B	0.19048
SKIC3	0.51296
ARSK	0.57944
GPR150	0.7007
RFESD	0.2417
SPATA9	0.4345
RHOBTB3	0.97601
GLRX	0.74581
ELL2	0.63558
PCSK1	0.79259
CAST	0.06924
ERAP1	0.063823
ERAP2	0.93967
LNPEP	0.8792
LIX1	0.98204
RIOK2	0.32987
RGMB	0.066662
CHD1	0.48015
LOC100652833	0.24705
FAM174A	0.74843
ST8SIA4	0.66818
SLCO4C1	0.012108
SLCO6A1	0.01553
PAM	0.72539
GIN1	0.66459
PPIP5K2	0.79594
MACIR	0.04212
NUDT12	0.99451
EFNA5	0.035842
FBXL17	0.0050808
FER	0.51418
PJA2	0.99636
MAN2A1	0.20444
TMEM232	0.57934
SLC25A46	0.40694
TSLP	0.2461
WDR36	0.54223
CAMK4	0.80953
STARD4	0.203
NREP	0.044106
EPB41L4A	0.10312
APC	0.091575
SRP19	0.3834
REEP5	0.30162
DCP2	0.1345
MCC	0.21157
TSSK1B	0.58336
YTHDC2	0.22829
KCNN2	4.4517e-6
TRIM36	0.0036106
PGGT1B	0.76377
CCDC112	0.52436
FEM1C	0.22838
TICAM2	0.39092
TMED7-TICAM2	0.39761
TMED7	0.36082
CDO1	0.59644
ATG12	0.39264
AP3S1	0.34756
LVRN	0.80663
ARL14EPL	0.66457
COMMD10	0.61821
SEMA6A	0.065761
DTWD2	0.090068
DMXL1	0.75041
TNFAIP8	0.32193
HSD17B4	0.45384
FAM170A	0.86836
PRR16	0.037555
FTMT	0.8092
SRFBP1	0.69925
LOX	0.52508
ZNF474	0.76567
LOC100505841	0.81641
SNCAIP	0.92864
SNX2	0.89929
SNX24	0.88491
PPIC	0.80066
PRDM6	0.58726
CEP120	0.23068
CSNK1G3	0.0078312
ZNF608	0.73957
GRAMD2B	0.32836
ALDH7A1	0.30546
PHAX	0.27959
TEX43	0.90157
LMNB1	0.47415
MARCHF3	0.59203
C5orf63	0.43778
MEGF10	0.35129
PRRC1	0.04646
CTXN3	0.068239
SLC12A2	0.68444
FBN2	0.87295
SLC27A6	0.22809
ISOC1	0.8421
ADAMTS19	1.7872e-4
MINAR2	0.0047414
CHSY3	0.13844
HINT1	0.77038
LYRM7	0.243
CDC42SE2	0.36386
RAPGEF6	0.29869
FNIP1	0.27561
MEIKIN	0.19803
ACSL6	0.13754
IL3	0.1205
CSF2	0.52813
P4HA2	0.12981
PDLIM4	0.30453
SLC22A4	0.13823
SLC22A5	0.26736
IRF1	0.7501
IL5	0.70249
RAD50	0.72188
IL13	0.17082
IL4	0.098095
KIF3A	0.17558000000000001
CCNI2	0.40892
SEPTIN8	0.72265
SOWAHA	4.8848e-4
SHROOM1	1.5411e-4
GDF9	0.002837
UQCRQ	3.9884e-5
LEAP2	1.6813e-4
AFF4	9.9252e-5
ZCCHC10	0.0049931
HSPA4	0.0055288
FSTL4	0.39076
C5orf15	0.38526
VDAC1	0.031772
TCF7	0.30954
SKP1	0.43106
PPP2CA	0.35636
CDKL3	0.17932
UBE2B	0.17818
CDKN2AIPNL	0.18652
JADE2	2.5393e-4
SAR1B	0.014415
SEC24A	0.018776
CAMLG	0.10156
DDX46	0.0095366
C5orf24	0.063715
TXNDC15	0.0042483
PCBD2	0.0019528
CATSPER3	1.6337e-4
PITX1	0.10375
PITX1-AS1	0.09503
MACROH2A1	0.051951
DCANP1	0.32356
TIFAB	0.84257
NEUROG1	0.29602
CXCL14	0.039757
SLC25A48	0.33889
IL9	0.52628
FBXL21P	0.62811
LECT2	0.87936
TGFBI	0.60229
SMAD5	0.8752
TRPC7	0.23633
SPOCK1	0.2307
KLHL3	0.041549
HNRNPA0	0.021731
MYOT	0.0039661
PKD2L2	0.020095
FAM13B	0.13903
WNT8A	0.046669
NME5	0.35045
BRD8	0.19059
KIF20A	0.47913
CDC23	0.51412
GFRA3	0.014415
CDC25C	0.030399
FAM53C	0.0021937
KDM3B	7.0697e-5
REEP2	1.6823e-5
EGR1	3.4507e-4
ETF1	4.0554e-5
HSPA9	1.0052e-4
CTNNA1	0.71777
LRRTM2	0.59616
SIL1	0.24797
MATR3	0.054869
PAIP2	0.028051
SLC23A1	0.2228
MZB1	0.2706
PROB1	0.1271
SPATA24	0.14355
DNAJC18	0.21455
STING1	0.21696
UBE2D2	0.40408
CXXC5	0.42251
PSD2	0.012863
NRG2	0.0018884
PURA	0.002594
IGIP	0.006347
CYSTM1	0.042191
PFDN1	0.19442
HBEGF	0.059128
SLC4A9	0.0020568
ANKHD1	0.0021634
ANKHD1-EIF4EBP3	0.0026285
EIF4EBP3	0.0033217
SRA1	0.0049898
APBB3	0.5704
SLC35A4	0.088662
CD14	0.0051752
TMCO6	1.0606e-4
NDUFA2	0.0057779
IK	1.9014e-4
WDR55	1.5793e-4
DND1	3.434e-4
HARS1	6.8439e-5
HARS2	4.095e-5
ZMAT2	1.0965e-4
PCDHA1	4.7872e-6
PCDHA2	3.0084e-6
PCDHA3	5.1427e-6
PCDHA4	3.8018e-6
PCDHA5	4.7026e-6
PCDHA6	1.0877e-5
PCDHA7	3.4334e-6
PCDHA8	3.7428e-6
PCDHA9	4.5725e-6
PCDHA10	9.7238e-6
PCDHA11	8.6504e-6
PCDHA12	1.0068e-5
PCDHA13	8.6163e-6
PCDHAC1	5.8841e-5
PCDHAC2	0.0010881
PCDHB1	0.48629
PCDHB2	0.84346
PCDHB3	1.3716e-4
PCDHB4	0.0069983
PCDHB5	0.05102
PCDHB6	0.010899
PCDHB7	2.1085e-4
PCDHB8	0.81165
PCDHB16	3.4493e-4
PCDHB9	2.4235e-6
PCDHB10	2.2489e-4
PCDHB11	0.0024968
PCDHB12	0.0031221
PCDHB13	0.30932
PCDHB14	0.022684
PCDHB15	0.0024763
SLC25A2	0.63898
TAF7	0.011342
PCDHGA1	0.02535
PCDHGA2	0.027227
PCDHGA3	0.023524
PCDHGB1	0.025898
PCDHGA4	0.024402
PCDHGB2	0.02184
PCDHGA5	0.017905
PCDHGA6	0.017465
PCDHGB3	0.017465
PCDHGA7	0.015923
PCDHGA8	0.015234
PCDHGB4	0.014881
PCDHGB5	0.015786
PCDHGA9	0.012678
PCDHGB6	0.015113
PCDHGA10	0.013648
PCDHGB7	0.014054
PCDHGA11	0.014174
PCDHGA12	0.016136
PCDHGC3	0.013777
PCDHGC4	0.012168
PCDHGC5	0.014082
DIAPH1	0.10078
HDAC3	0.55478
RELL2	0.27029
FCHSD1	0.53767
ARAP3	0.25088
PCDH1	0.46965
DELE1	0.58335
PCDH12	0.41865
RNF14	0.87268
GNPDA1	0.7373
NDFIP1	0.48837
SPRY4	0.26953
FGF1	0.3862
ARHGAP26	0.59692
NR3C1	0.79368
HMHB1	0.22868
YIPF5	0.31632
KCTD16	0.47091
PRELID2	0.043307
GRXCR2	0.041985
SH3RF2	2.3673e-6
PLAC8L1	3.9264e-4
LARS1	3.7171e-4
RBM27	0.0013242
POU4F3	0.2213
TCERG1	0.0071716
GPR151	0.10584
PPP2R2B	0.0011484
STK32A	0.011771
DPYSL3	0.030685
JAKMIP2	0.080715
SPINK1	0.53112
SCGB3A2	0.42056
C5orf46	0.59038
SPINK5	0.78114
SPINK14	0.71672
SPINK6	0.73615
SPINK13	0.33562
SPINK7	0.18318
SPINK9	0.39363
FBXO38	0.096419
HTR4	0.26808
ADRB2	0.69403
SH3TC2	0.33112
ABLIM3	0.054249
AFAP1L1	0.014538
GRPEL2	0.17818
PCYOX1L	0.079181
IL17B	0.11879
CSNK1A1	0.028999
ARHGEF37	0.27738
PPARGC1B	7.127e-4
PDE6A	0.27868
SLC26A2	0.49833
TIGD6	0.16299
HMGXB3	0.12682
CSF1R	0.18802
PDGFRB	0.30312
CDX1	0.040417
SLC6A7	0.041639
CAMK2A	0.35222
ARSI	0.61694
TCOF1	0.72967
CD74	0.83412
RPS14	0.50385
NDST1	0.29043
SYNPO	0.75147
MYOZ3	0.49185
RBM22	0.82345
DCTN4	0.46125
SMIM3	0.32033
IRGM	0.2818
ZNF300	0.18187999999999999
GPX3	0.19439
TNIP1	0.19104
ANXA6	0.29284
CCDC69	0.41161
GM2A	0.23346
SLC36A3	0.30729
SLC36A2	0.63584
SLC36A1	0.55527
FAT2	0.77311
SPARC	0.3823
ATOX1	0.18682000000000001
LOC100652758	0.054371
G3BP1	0.1465
GLRA1	0.22867
NMUR2	0.0072834
GRIA1	0.19742
FAM114A2	0.05432
MFAP3	0.055582
GALNT10	0.075943
SAP30L	0.33473
HAND1	0.68818
LARP1	0.96883
FAXDC2	0.9961
CNOT8	0.94328
GEMIN5	0.89141
MRPL22	0.78486
KIF4B	0.73816
SGCD	0.016839
TIMD4	0.15547
HAVCR1	0.24118
HAVCR2	0.34089
MED7	0.34023
GARIN3	0.11155
ITK	0.37964
CYFIP2	0.60111
FNDC9	0.55381
ADAM19	0.28734
NIPAL4	0.47106
SOX30	0.057541
C5orf52	0.098808000000000007
THG1L	0.27809
LSM11	0.097206
CLINT1	0.28691
EBF1	0.0014093
RNF145	0.94125
UBLCP1	0.52092
IL12B	0.5694
ADRA1B	0.51932
TTC1	0.76564
PWWP2A	0.94702
FABP6	0.044582
CCNJL	0.19492
C1QTNF2	0.22342
FAM200C	0.55022
SLU7	0.56006
PTTG1	0.42258
ATP10B	0.058527
GABRB2	0.03978
GABRA6	0.030874
GABRA1	0.0103
GABRG2	0.72605
CCNG1	0.83921
NUDCD2	0.80469
HMMR	0.8616
MAT2B	0.7623
TENM2	0.0010777
WWC1	0.64062
RARS1	0.55165
PANK3	0.39534
SLIT3	4.9888e-4
SPDL1	0.4611
DOCK2	2.4665e-11
INSYN2B	3.2099e-11
FOXI1	0.29694
C5orf58	0.3836
LCP2	0.54288
KCNIP1	0.096733
KCNMB1	0.16297
GABRP	0.33886
RANBP17	0.51625
TLX3	0.51853
NPM1	0.15067
FGF18	0.17577
SMIM23	0.34623
FBXW11	0.45129
STK10	0.83079
EFCAB9	0.95261
UBTD2	0.50463
SH3PXD2B	0.53332
NEURL1B	0.80809
LOC101928093	0.89169
DUSP1	0.5066
ERGIC1	0.76932
RPL26L1	0.4467
ATP6V0E1	0.68308
CREBRF	0.76707
BNIP1	0.99109
NKX2-5	0.53853
STC2	0.53563
BOD1	0.41096
CPEB4	0.49315
C5orf47	0.077221
NSG2	0.090593
MSX2	0.38272
DRD1	0.27498
SFXN1	0.3821
HRH2	0.26102
CPLX2	0.26027
THOC3	0.9908
FAM153B	0.020021
SIMC1	0.19084
KIAA1191	0.56202
ARL10	0.26833
NOP16	0.11679
HIGD2A	0.081792
CLTB	0.10112
FAF2	0.91104
RNF44	0.88735
CDHR2	0.56392
GPRIN1	0.78966
SNCB	0.68417
EIF4E1B	0.66486
TSPAN17	0.22931000000000001
UNC5A	0.84249
HK3	0.2786
UIMC1	0.049792
ZNF346	0.15464
FGFR4	0.85202
NSD1	0.37995
RAB24	0.19691
PRELID1	0.24485
MXD3	0.25296
LMAN2	0.60215
RGS14	0.95859
SLC34A1	0.34617
F12	0.79538
GRK6	0.37648
PRR7	0.32401
DBN1	0.40424
PDLIM7	0.17856
DOK3	0.97941
DDX41	0.76812
FAM193B	0.91581
TMED9	0.24649
B4GALT7	0.54799
FAM153A	0.76373
PROP1	0.85273
N4BP3	0.71477
RMND5B	0.46217
NHP2	0.23907
HNRNPAB	0.055039
PHYKPL	0.12814
COL23A1	0.60815
CLK4	0.074198
ZNF354A	0.057803
ZNF354B	0.90697
ZFP2	0.96037
ZNF454	0.24576
GRM6	0.14938
ZNF879	0.22562
ZNF354C	0.033704
ADAMTS2	0.77782
RUFY1	0.16576
HNRNPH1	0.12976
C5orf60	0.54481
CBY3	0.25278
CANX	0.42061
MAML1	0.56593
LTC4S	0.59774
MGAT4B	0.8086
SQSTM1	0.29082
MRNIP	0.32315
TBC1D9B	0.6583
RNF130	0.24198
RASGEF1C	0.41023
MAPK9	0.21977
GFPT2	0.83303
CNOT6	0.099194
SCGB3A1	0.095691
FLT4	0.045632
OR2Y1	0.7238
MGAT1	0.73196
ZFP62	0.74105
BTNL8	0.45967
BTNL3	0.21814
BTNL9	0.50225
OR2V1	0.52427
OR2V2	0.033273
TRIM7	0.16158
TRIM41	0.062973
RACK1	0.20537
TRIM52	0.22036
DUSP22	0.99483
IRF4	0.17902
EXOC2	0.11741
HUS1B	0.29659
FOXQ1	0.037913
FOXF2	0.17244
FOXC1	0.2876
GMDS	0.10282
MYLK4	0.3949
WRNIP1	0.010973
SERPINB1	0.16865
SERPINB9	0.52651
SERPINB6	0.04505
NQO2	0.13375
RIPK1	0.17589
BPHL	0.0027469
TUBB2A	0.019256
TUBB2B	0.01101
PSMG4	0.31988
SLC22A23	0.29636
PXDC1	0.28941
FAM50B	0.020501
PRPF4B	0.57337
FAM217A	0.23766
TEX56P	0.10163
ECI2	0.15734
CDYL	0.32054
RPP40	0.12101
LYRM4	0.26123
PPP1R3G	0.24265
FARS2	0.23008
NRN1	0.36532
F13A1	0.15655
LY86	0.063657
RREB1	0.097193
SSR1	0.0011373
CAGE1	0.36982
RIOK1	0.52695
DSP	0.35042
