GENEID	BD_ATAC
TRIM38	0.001573641
LOC100134868	2.34e-6
EBF2	1.61e-6
HIST1H1A	1.13e-7
HIST1H4A	5.34e-9
MAN1C1	9.62e-7
HIST1H4B	1.68e-7
HIST1H3B	3.1e-9
HIST1H2AB	1.66e-6
HIST1H2BB	4.06e-6
HIST1H1C	6.86e-8
FAM182A	0.530225974
NCOR1P1	0.01548385
HFE	0.034158142
ASXL2	6.63e-6
HIST1H4C	1.89e-8
ATP10A	0.175499324
RASSF8-AS1	2.44e-6
HIST1H2BC	3.68e-7
PPP2R2A	1.76e-7
HIST1H2AC	1.09e-7
NFE2L3	4.77e-6
SELENON	6.77e-7
NOS2	1.02e-5
MIR663A	0.096142102
MTFR1L	1.12e-6
LINC02346	7.74e-8
HIST1H1E	8.07e-8
STXBP6	1.04e-8
RASSF8	2.87e-5
HIST1H2BE	7.98e-8
AUNIP	1.02e-6
HIST1H4D	1.22e-7
LOC101929073	3.35e-8
HIST1H2AD	2.85e-7
HIST1H3D	5.32e-6
PAQR7	3.14e-7
HIST1H4E	1.48e-5
KIF3C	8.74e-9
MIR663AHG	0.055925763
LYRM9	6.38e-7
MAGEB6	0.352004198
HIST1H2BG	4.26e-6
HIST1H2AE	1.32871e-4
HNRNPA2B1	1.06e-5
MYO18B	6.31e-8
HIST1H3E	0.026837171
SDAD1P1	6.6e-5
HIST1H1D	0.017720886
BNIP3L	6.9e-7
HIST1H4F	0.018804723
STMN1	5.78e-7
BHLHE41	1.03e-6
HIST1H3F	0.017835232
HIST1H2BH	0.42750903
RAB10	8.61e-6
CBX3	9.18e-8
HIST1H3G	0.533168129
HIST1H2BI	0.006049762
HIST1H4H	1.46e-7
LINC01992	2.28131e-4
MYO3A	5.74e-5
ANO3-AS1	1.3e-10
PAFAH2	1.01e-6
PNMA2	3.28e-8
EXTL1	2.48e-6
MAGEB5	0.111224135
SLC30A2	2.67e-7
BTN3A2	1.54e-6
ANO3	5.22e-10
NLK	3.36e-6
DPYSL2	5.2400000000000005e-10
LINC01692	1.44e-7
BTN2A2	2.47e-9
MIR548W	1.65e-9
SNX10	6.5e-9
RBPJ	1.09e-7
TRIM63	0.514096045
GAREM2	1.34584e-4
BTN3A1	1.28e-5
CCKAR	6.58e-7
LOC100506422	2.08e-11
LOC105375304	3.21e-11
BTN2A3P	6.56e-7
PDIK1L	7.43e-7
LOC441204	9.89e-10
BTN3A3	4.99e-6
BTN2A1	2.14e-7
HADHB	2.34e-6
LOC285819	1.63e-7
FAM110D	2.77e-7
C1orf232	5.03e-5
ZNF593	5.76e-8
SHISA2	1.88e-6
GAD2	8.21e-5
BTN1A1	0.587536612
CNKSR1	1.69986e-4
CATSPER4	6.15693e-4
HCG11	8.79e-6
CAAP1	6.09e-8
KIAA0087	3.54e-8
HMGN4	3.65e-6
PYY2	1.02544e-4
LOC101928303	5.99169e-4
LOC105374988	7.22e-9
SSPN	2.58e-8
CEP85	1.3914e-4
SEZ6L	8.34e-6
MUC15	4.73e-7
SELENOI	5.42e-6
PPY2P	1.01536e-4
ADGRF3	2.44245e-4
VENTXP1	1.85873e-4
NOVA1	7.53e-12
LINC00929	7.22e-10
SH3BGRL3	7.02e-7
DRC1	3.71e-7
UBXN11	1.37e-9
KRT18P55	0.008584463
LINC00415	2.48e-6
TMEM97	0.88118743
LRRC3B	7.97e-12
LINC00158	1.23e-12
CRYBG2	1.71e-6
C7orf71	4.25e-6
TBC1D19	4.04e-6
ADRA1A	2.11e-6
OTOF	2.22226e-4
LIN28A	0.637568389
DHDDS	1.53e-5
RNF6	5.7e-7
APBB1IP	0.004126175
HMGN2	5.92e-7
C2orf70	0.003682886
STIM2-AS1	8.5e-11
ASPHD2	8.43e-7
CDK8	3e-5
CIB4	0.059808664
FOXN1	4.3997e-4
LOC101929117	0.001848256
C16orf82	3.23e-5
RPS6KA1	1.5e-5
SLC5A12	6.81e-11
MIR155HG	2.5e-10
UNC119	1.65e-9
HPS4	6.97e-5
SRRD	0.290672896
FAM238A	1.12e-5
SKAP2	3.8e-6
PIGS	3.66e-8
ALDOC	1.44e-8
GABRB3	2.84e-11
TFIP11	3.51e-6
FAM238B	7.63e-6
LOC100507599	9.54117e-4
GUSBP2	4.35e-5
LINC00240	3.24633e-4
SPAG5-AS1	7.01e-9
FIBIN	2.34e-10
MIR548J	0.003299336
KCNK3	3.57e-7
RSKR	3.71e-5
PLAA	1.4719e-4
MIR1976	6.98e-5
MIR155	2.45e-8
LINC00515	4.61e-5
IFT74-AS1	8.26e-5
STIM2	8.1e-9
KIAA0100	4.09e-7
IFT74	1.11e-6
MRPL39	4.13e-8
SDF2	0.010411379
TPST2	9.23e-10
MIR548H4	7.98e-6
ITPR2	9.23e-9
SLC35F6	6.78e-6
LOC100270746	2.66141e-4
SUPT6H	3.73e-7
CRYBB1	0.003913184
CENPA	5.13e-9
JAM2	2.31e-9
LOC101928728	5.95e-5
ARID1A	6.32e-5
LRRC19	4.66e-7
PROCA1	1.27e-8
CDH9	1.14e-9
RAB34	0.00110822
RPL23A	3.24e-7
HOXA1	5.97e-5
MIAT	6.96e-8
TLCD1	4.59e-8
NEK8	9.62e-8
PDSS1	1.25e-9
INTS13	1.4e-7
DPYSL5	2.89e-6
MIATNB	7.06e-7
TRAF4	2.25e-9
GABPA	4.52e-10
FGFR1OP2	8.02e-5
ABI1	7.06e-12
HIST1H2BJ	6.63e-6
HIST1H4I	0.008808877
BBOX1	1.05e-10
PIGV	3.46e-7
HIST1H2AH	3.44e-5
GABRA5	1.71e-10
STMN4	1.94e-9
LINC02588	2.13e-8
HOTAIRM1	0.490636942
FAM222B	4.87e-7
MIR3143	1.05e-6
HOXA2	0.00374389
TRIM35	2.48e-6
ZDHHC18	1.22e-7
HOXA3	0.285564977
TM7SF3	1.25e-6
HOXA4	0.04128109
MED21	1.12e-6
LINC02261	1.11e-9
ERAL1	2.33e-7
WASF3	1.99e-9
HOXA6	0.737786893
SFN	1.21e-8
LOC110091768	1.41e-5
MAPRE3	6.87e-8
TEK	7.04e-11
HOXA7	0.001142822
NEK10	1.01e-10
HOXA10	0.029342748
ATP5PF	2.79e-11
GPN2	2.18e-7
PRSS16	2.97e-8
FLOT2	2.05e-6
GPATCH3	1.93e-5
KDM8	3.75e-7
LOC100129724	0.061507958
DHRS13	1.05e-5
HOXA11-AS	0.607759907
BBOX1-AS1	2.38e-10
FAM238C	3.39e-5
PTK2B	1.29e-10
NR0B2	0.014637647
C12orf71	1.53e-10
HOXA13	0.083832462
LOC101927018	0.012384831
LINC02293	1.16435e-4
NUDC	2.78e-6
HOTTIP	0.003282863
TMEM214	6.42e-8
AGBL5-AS1	0.001470817
NSMCE1-DT	0.006202942
GPR12	1.11e-9
AGBL5	1.07e-7
GABRG3	1.76e-8
EVX1	0.174252145
PURPL	2.85e-8
LINC00032	4.2e-9
PHF12	3.19e-8
NSMCE1	3.11e-6
POM121L2	0.019857577
MIR6842	8.7e-9
KDF1	0.007483428
OST4	3.65e-6
VN1R10P	2.72e-7
EMILIN1	5.42e-7
LINC02294	3.67e-10
MIR302F	1.47e-9
KHK	2.16e-8
TRNP1	1.99e-8
CHRNA2	2.86e-6
IL4R	0.015986188
LINC01422	0.309645514
EQTN	1.45e-9
SEZ6	3.19e-7
CGREF1	0.002165145
MIR4307HG	1.17e-11
ZNF204P	3.44e-7
EPHX2	1.31e-7
ABHD1	1.85e-5
PPP4R3C	0.014583158
ZNF391	1.08e-6
PREB	6.67e-7
TENT5B	2.99e-6
PRR30	0.022626996
PIPOX	0.005857158
IL21R	3.50932e-4
TCF23	0.003337241
ANKRD26	1.32622e-4
CCDC34	1.26e-10
TIAF1	0.001530395
EVX1-AS	1.19e-8
STK38L	8.84e-8
IFNK	1.5e-10
ATRAID	0.00818996
SLC5A6	2.39e-6
CAD	8.74e-6
MASTL	8.86e-5
MIR6843	3.79e-9
LOC105376671	1.66e-7
IL21R-AS1	0.007645751
CLU	1.9e-9
SLC9A1	4.54e-6
LOC284898	3.69e-5
ARNTL2	6.61e-9
SLC30A3	3.73e-8
ZNF184	2.51e-7
ACBD5	4.12e-7
SCARA3	1.25e-6
LGR4	2.52e-7
TSL	1.42e-8
APP	2.9e-9
MYO18A	7.49e-8
TRIM54	9.56e-5
LIN7C	1.27e-7
MIR3622A	3.77e-6
UCN	0.096373157
GTF3C1	5.53e-6
LRRC37A6P	0.002940976
MPV17	9.63e-9
ARMC4P1	3.43797e-4
MOB3B	4.33e-8
LOC105372977	0.001210939
GTF3C2-AS1	0.323514444
WDTC1	6.69e-6
KIAA0556	3.28e-6
MIR3622B	4.82e-7
DCAF8L2	0.02332113
CRYBA1	1.57658e-4
MIR8087	2.75e-8
SLC4A7	6.99e-10
ARNTL2-AS1	3.55e-8
GTF3C2	3.89e-5
EIF2B4	7.25e-5
LINC01012	6.31e-7
ZNF513	6.14e-6
FTH1P3	0.123560528
NUFIP2	5.37e-8
LINC00678	8.55e-10
TMEM222	2.54e-5
SMCO2	0.00873441
CCDC25	3.11e-6
ESCO2	3.36e-6
PPM1G	7.51e-7
LINC01638	0.118208532
LOC100128079	3.12e-6
NRBP1	4.22e-7
ACTG1P20	0.121690787
GABRG3-AS1	2.72e-9
KRTCAP3	0.002666253
SYTL1	0.013307949
MIR4307	4.35e-8
MAP3K6	3.16e-8
CYYR1-AS1	3.52e-12
PBK	3.08e-6
FCN3	0.012959059
HIBADH	1.79962e-4
EOMES	2.77e-11
CD164L2	0.040018449
USP12-AS1	3.64e-7
IFT172	7.97e-8
MIR4523	3.2e-6
FNDC4	4.14e-5
GPR3	3.4e-6
LOC100131289	3.4e-6
GCKR	0.006799754
PTCHD3	7.05182e-4
BDNF	2.97e-11
TAOK1	0.240953613
PPFIBP1	5.89e-11
USP12	3.23e-5
LINC00645	3.45e-5
C9orf72	1.09e-8
HIST1H2BL	1.03e-6
LINC02554	7.86e-11
MIR4287	0.001293932
MAGEB10	0.05779106
HIST1H3H	4.05e-7
REP15	1.39e-8
HIST1H2BM	2.32e-5
LINC00412	6.2109e-4
HIST1H4J	1.54e-11
HIST1H4K	8.07e-10
ZNF512	0.001667263
HIST1H2AK	3.46e-7
SCARA5	2.8e-6
RPL21	7.58e-5
HIST1H2AL	0.009943574
HIST1H1B	0.050805852
SNORA27	0.485189758
HIST1H3I	0.071589806
HIST1H4L	0.413094634
LINC01980	1.91915e-4
RASL11A	4.93e-6
GPN1	2.85e-8
WASF2	4.24e-9
MRPS35	6.53e-8
HIST1H2AM	1.73488e-4
HIST1H2BO	1.38e-5
ABHD15	0.454418232
OR2B2	1.85e-6
SLC4A1AP	0.009724024
CYYR1	2.37e-12
TAX1BP1	1.21e-6
SUPT7L	4.38e-6
TP53I13	2.23e-7
MANSC4	2.78e-8
GIT1	2.78e-6
RAB18	4.45e-7
ANKRD13B	1.18e-7
NUGGC	0.001213935
MIR610	1.03e-10
AHDC1	9.2e-9
GSG1L	1.22e-5
OR2B6	0.002615943
LINC01460	3.42e-6
CORO6	1.23e-7
LOC105374378	2.57e-6
LINC02103	8.38e-7
ELP3	6.2e-5
FGR	0.001570209
KLHL42	4.96e-8
MKX-AS1	2.28e-7
LINC01981	7.18e-5
LINC02574	4.12e-6
MRPL33	9.24e-5
DCAF8L1	0.040795937
IFI6	5.98e-7
GTF3A	4.26e-8
MTIF3	6.68e-6
ZNF165	4.3752e-4
FAM76A	2.9e-5
ZSCAN12P1	1.21e-7
ZSCAN16	6.01e-6
STX12	8e-7
MIR3171	0.024368571
ZSCAN16-AS1	5.39e-6
MKX	3.89e-7
ZKSCAN8	5.13e-7
BABAM2	3.55e-7
KIF18A	0.009331048
PTHLH	1.04e-7
ZNF192P1	0.016733615
JAZF1-AS1	4.33e-9
BABAM2-AS1	3.4e-5
LNX2	2.52808e-4
ADAMTS1	1.82e-10
PPP1R8	7.248e-4
MIR4263	7.8677e-4
TOB2P1	0.032740991
ZSCAN9	0.001050709
POLR1D	1.89e-7
MN1	1.23e-5
THEMIS2	2.04e-6
PNOC	2.61e-7
ZKSCAN4	7.06e-8
XPO6	1.17e-6
NKAPL	0.040403948
EFCAB5	4.51e-6
ZSCAN26	3.36e-6
RPA2	4.79e-7
PGBD1	3.02e-7
METTL15	2.43e-5
JAZF1	0.00240554
DSC3	1.92e-10
SSH2	5.49e-5
SMPDL3B	0.458320084
PITPNB	0.003641703
LOC101927151	0.012912957
OCA2	5.62e-13
ZNF395	8.31e-8
ARMC4	6.92e-8
CMC1	3.53e-9
SBK1	7.17e-8
XKR8	5.17e-8
TTC28-AS1	2.03e-5
ZKSCAN3	1.41e-5
ZSCAN31	1.91e-6
MIR4759	4.51e-6
FBXO16	9.26e-7
ADAMTS5	3.74e-12
LINC00662	6.76e-5
CCDC91	2.33e-6
ZSCAN12	9.4e-6
FZD3	8.12e-7
LOC728755	1.83e-10
ZCWPW2	1.01e-6
NPIPB6	0.006188576
GSX1	1.67069e-4
MIR3199-1	2.08e-5
ZSCAN23	3.87e-10
EYA3	2.52e-6
PLUT	0.017370042
NSRP1	2.27e-5
LOC100505736	1.31549e-4
SNORD130	7.36224e-4
MIR4275	2.7e-7
MIR4288	7.35e-6
MIR3184	0.216426891
GPX6	1.47405e-4
TTTY3	0.008210883
PDX1	0.251295315
CLN3	4.17e-8
HERC2	5.78914e-4
MIR6134	0.013902643
IL27	6.55531e-4
LINC00543	0.11307042
PTAFR	0.001795981
CDX2	0.313748035
LINGO2	2.33e-14
LOC100505716	0.020691926
SLC6A4	1.70536e-4
NUPR1	0.035301572
EXTL3-AS1	1.5e-6
URAD	0.003919696
DNAJC8	1.33e-6
SGF29	9.12e-6
EXTL3	1.04e-6
ATP5IF1	6.51e-8
SESN2	2.96e-7
MIR8086	0.018838339
MIR8068	6.83e-11
SULT1A2	0.023329081
FOSL2	2.75e-7
BLMH	5.84e-6
SULT1A1	1.89e-5
IL1RAPL1	1.44e-6
MED18	0.001383581
FLJ31356	7.52e-6
TMIGD1	6.74e-5
FLT3	0.002590892
DSCAS	2.27e-8
MPP7	4.47e-9
PHACTR4	8.47e-6
CPD	1.78e-8
DSC2	7.44e-7
LINC02652	4.98e-7
PAN3	2.42e-5
DSC1	9.33e-8
INTS9	3.32e-5
CREB5	5.34e-8
LOC729291	1.16e-7
LSP1P3	9.24e-6
LINC00113	4.9e-9
GOSR1	9.58e-7
MIR876	3.58e-7
PLB1	1.14e-6
DSG1	1.09e-8
ATXN2L	1.7e-6
MIR5739	2.32e-5
RCC1	5.91e-6
MIR4721	0.022249769
WAC	4.09e-6
PAN3-AS1	3.68e-8
SH2B1	3.28e-7
TRNAU1AP	9.99e-7
ATP2A1	1.59e-6
SMURF2P1-LRRC37BP1	0.011929272
LINC00693	1.23e-9
SNHG12	5.89e-8
LOC100505774	3.83e-8
HMBOX1	1.11e-8
SH3GL1P2	1.89e-5
RAB42	0.001417231
LOC102724908	1.3668e-4
RABEP2	3.44e-5
GOLGA8M	0.098155836
CD19	0.989976252
BAMBI	1.66e-7
NFATC2IP	1.8e-7
MIR873	1.54e-6
DSG4	0.001679426
TAF12	6.54e-7
PPP1CB	1.77e-6
RNU11	3.76e-6
WHAMMP2	7.72e-6
SPNS1	7.54e-6
FLT1	1.95e-7
DSG1-AS1	1.18e-7
SUZ12P1	9.08e-7
GMEB1	2.67e-5
TRIL	4.54e-7
LAT	9.03e-5
LINC01517	7.83e-6
LOC101929645	1.61e-5
SPDYA	2.74e-9
LOC100289656	0.003617746
PDCD6IPP2	0.039495926
DSG3	8.69e-5
LINC02364	8.4e-6
LOC100506497	5.14e-6
YTHDF2	9.51e-5
TTC28	1.52452e-4
GOLGA6L7	3.32e-7
DSG2	2.3e-7
LINC00837	7.5e-5
TRMT61B	5.82e-6
OPRD1	0.001011778
RBMS3-AS3	5.35e-10
WDR43	6.54353e-4
KIF13B	8.52e-7
APBA2	9.19e-8
DSG2-AS1	6.55e-6
LOC101928168	3.95e-5
HSCB	3.39e-6
RRN3P2	1.08277e-4
SNORD53	0.261731834
CRLF3	1.08e-6
FAR2	1.07e-10
ATAD5	6.75114e-4
TTR	3.67e-10
CCDC117	8.41e-6
SNORD53B	0.0015190099999999999
POMP	2.66e-7
CPVL	0.133397007
XBP1	1.28e-6
TOGARAM2	4.48e-8
LOC100420587	3.73055e-4
B4GALT6	2.74e-8
FOXG1-AS1	8.98e-10
TEFM	3.05e-6
FOXG1	1.63e-9
EPB41	1.84e-7
LINC01551	1.47e-9
ADAP2	0.666437515
LINC02109	0.003291176
C10orf126	1.38e-6
SLC46A3	1.94e-5
PCARE	9.44e-8
RNF135	6.57869e-4
ZNRF3	8.49e-7
SNX29P2	0.011173587
LOC102724484	7.4e-5
LINC00314	6.82e-9
LOC107984974	3.83267e-4
CLIP4	1.98e-6
LINC00906	4.96333e-4
ZNRF3-AS1	1.18e-5
DUSP4	3.39e-7
SLC25A52	1.11e-8
NF1	2.8e-6
C22orf31	0.00134504
TMEM200B	0.090001956
KREMEN1	4.49e-9
RBMS3	1.88e-8
LOC102724958	0.001979121
LOC388242	0.211706336
LOC100506606	1.3e-7
ERGIC2	6.12e-8
SRSF4	3.22e-7
CHN2	2.6e-8
LINC01697	2.61e-11
LINC01597	5.76e-6
TRAPPC8	4.05e-5
LINC02064	2.94e-5
OVCH1-AS1	0.001201917
FAM242B	3.77286e-4
LINC02472	1.94e-10
LYZL1	9.42e-7
MECR	6.26e-5
PTPRU	7.63e-5
LINC01532	0.007852346
LINC00589	3.49e-8
FRG1BP	0.068331163
EMID1	3.94e-5
PRR15	3.54e-6
FRG1DP	0.003489994
MIR3680-1	0.123083522
OMG	1.48012e-4
SMG1P2	7.22e-8
RNF125	1.41e-5
LINC02099	4.17e-6
OVCH1	2.72e-9
MLLT10P1	0.031314185
EVI2A	2.8259e-4
NSMCE3	3.72e-6
RHBDD3	9.48e-7
SVIL-AS1	2.57e-7
MIR550A3	1.8e-7
SPN	0.003781149
RBMS3-AS1	1.54e-7
QPRT	6.42e-5
RNF138	3.17e-11
GAS2L1	4.86e-8
UQCRFS1	2.59e-7
LOC101929470	2.66e-10
MIR4666B	2.02916e-4
RASL10A	1.8e-6
DPY19L2P3	7.55e-7
LINC01695	9.33e-7
C16orf54	2.25e-5
SNORD125	2.42e-7
LINC02209	2.65e-7
FAM189A1	5.59e-6
LOC105374389	1.96e-7
ZNRF2P2	0.021537375
LINC02282	3.11e-12
LOC105374704	7.25e-7
MIR604	3.61e-8
ZG16	0.344246745
AP1B1	1.34e-8
LINC01756	3.15e-5
KIF22	1.96e-7
LINC02546	4.03e-12
RAB11FIP4	5.19e-8
MAZ	1.34e-7
PRRT2	1.98e-9
PAGR1	2.54e-6
RFPL1	0.488961613
MVP	0.020352116
RFPL1S	0.089502743
MIR4724	1e-5
CDIPT	2.13e-5
DEFB115	0.001692159
MIR3148	3.27e-5
NEFH	5.41013e-4
MIR938	2.27e-7
CDIPTOSP	4.91e-8
MIR193A	5.56e-8
TMTC1	3.67e-9
DEFB116	6.69239e-4
MEP1B	1.16e-12
LOC284395	3.05e-9
WIPF3	5.19e-9
SEZ6L2	2.17e-6
MIR365B	0.005046037
HLA-A	0.02200949
ASPHD1	5.93e-7
MAGEB2	0.003316227
GAREM1	5.62e-10
DEFB118	0.039932412
KCTD13	4.68e-6
SARAF	4.83e-6
THOC5	9.76e-8
LEPROTL1	3.4e-8
SCRN1	8.7e-8
LOC100130111	2.83e-7
TMEM219	2.71e-6
NIPSNAP1	1.35e-6
TAOK2	2.93e-6
LINC01616	9.04e-10
MBOAT4	1.6e-6
NF2	9.04e-6
MTUS2	1.25e-10
LINC00161	9.76e-12
HIRIP3	4.19e-6
VSTM2B	4.57e-6
DOC2A	6.06365e-4
KCNA4	1.44e-10
SVIL	3.42e-11
DCTN6	6.39e-7
C16orf92	4.31e-7
TLCD3B	0.002075329
DEFB124	4.11599e-4
PRKD1	2.07e-12
MTUS2-AS1	6.03e-8
REM1	0.006695038
LOC112694756	2.12e-5
FKBP14	3.47e-6
PLEKHA8	3.75e-6
ALDOA	2.23e-8
LINC00028	0.454558731
CABP7	5.85e-6
PPP4C	2.44e-5
POP4	2.16e-5
TBX6	8.92e-8
YPEL3	5.3e-6
N6AMT1	2.39e-8
HM13	2.95e-6
GDPD3	0.2656725
MAPK3	2.45e-7
SLC7A1	3.58e-9
ALK	1.41e-6
HM13-AS1	1.9e-7
PLEKHF1	1.99e-6
ZMAT5	8.22e-6
TJP1	5.94e-7
MTURN	5.89e-7
WBP11P1	2.05e-8
UQCR10	9.64e-5
COPRS	5.15e-8
ID1	1.16e-6
CORO1A	1.84e-10
LOC606724	0.018740383
MIR3193	1.04e-5
SLX1B-SULT1A4	0.002638284
C19orf12	1.16e-6
UTP6	2.66e-9
ASCC2	6.92e-7
RBPMS	1.91e-6
COX4I2	1.24e-7
LOC102723345	4.44e-5
SUZ12	2.38e-8
ZNRF2	4.5e-8
MTMR3	1.99e-6
RBPMS-AS1	6.01589e-4
ABALON	2.42e-7
FSHB	2.54e-10
LINC01648	1.82e-7
BCL2L1	4.32e-5
LTN1	3.3e-7
TPX2	3.55e-8
LINC01985	6.53e-7
KLHL14	3.33e-10
LRRC37B	1.41e-9
CCNE1	8.67e-9
SMG1P5	3.68e-8
ARL14EP	8.33e-10
JCAD	6.22e-11
GOLGA8J	2.36e-7
MIR550B1	8.8e-5
CD2BP2	3.35e-6
DKFZP586I1420	0.001080147
MYLPF	1.33e-5
YPEL5	2.83e-8
ZNF48	2.52e-7
RWDD2B	1.18e-6
USP16	2.81094e-4
NR0B1	0.005556479
MIR6818	2.9132e-4
SNORA10B	9.31e-6
MYLK2	1.41e-5
SH3GL1P1	8.51e-6
ZNF771	3.22e-8
UBL3	1.14e-5
FOXS1	7.32329e-4
SNORA80C	1.82e-8
CCT8	5.67e-9
URI1	6.46e-10
DCTPP1	4.54e-9
DUSP15	1.35168e-4
LBH	1.54e-8
RHOT1	8.13e-7
SEPHS2	3.02e-5
LOC101929279	1.74e-11
SMIM18	8.91e-10
LINC02249	0.334233992
LINC00297	0.024801341
LINC01176	6.86028e-4
HORMAD2-AS1	0.055177816
ARGFXP2	4.14e-5
TTLL9	8.6e-5
ITGAL	0.006259166
LINC00572	0.009512183
MPPED2	4.93e-12
LINC00544	2.82e-7
MAP3K7CL	4.96e-9
NOD1	2.3e-9
GTF2E2	5.3e-5
ZNF768	2.03e-9
PDRG1	7.65e-6
GGCT	1.18e-7
ZNF747	2.42e-6
LINC00189	4.05e-5
XKR7	1.07e-5
ZNF764	1.98e-8
GSR	4.7e-9
MTPAP	4.86e-5
CCM2L	2.12008e-4
ZNF688	2.77e-7
RHBDL3	3.75e-5
ZNF785	1.06e-6
UBXN8	9.24e-5
LIF-AS1	0.095211682
GARS-DT	1.24e-8
LINC01936	2.13e-5
CXorf21	0.022461822
CHRFAM7A	0.123316033
HCK	1.45e-5
ZNF689	2.08e-6
GARS	9.29e-6
PRR14	1.25e-6
MIR7162	0.006645783
LIF	0.001301277
OSM	0.234393233
PPP2CB	1.12e-8
C17orf75	6.36e-7
FBRS	2.95e-7
LCLAT1	1.07e-6
MIR632	2.59e-6
GOLGA2P6	1.18e-7
CASTOR1	1.77e-8
LINC00365	6.11e-8
BACH1	1.09e-6
TM9SF4	6.05e-5
GOLGA8R	0.485844637
TGFBR2	9.22e-7
LOC730183	3.48e-6
ZNF207	0.818489332
BACH1-IT2	2.73e-6
CRHR2	4.83e-6
TBC1D10A	1.26e-10
SNORA30	0.453658986
G2E3	1.48e-13
TMEM265	0.506004382
CCDC157	0.036353741
SF3A1	1.21e-7
GK	1.03438e-4
MAP3K8	1.04e-13
PHKG2	1.62e-7
LINC00384	1.15e-8
LOC100288203	2.49e-7
RNF40	0.859359869
TEX15	1.77e-10
KIAA1656	0.047547148
PSMD11	3.21e-9
CCDC189	3.77e-8
TAB3-AS1	0.045037724
TSPY26P	6.92e-8
RNF215	4.17e-8
ZNF629	1.28e-8
INMT	2.18e-10
PLAGL2	2.25e-6
SEC14L2	3.38e-6
INMT-MINDY4	2.1e-7
CDK5R1	2.43e-7
LINC01242	3.63e-7
MINDY4	7.33e-10
MTFP1	2.44e-7
LOC105372990	0.007391002
MIR1825	9.69e-5
PCDH7	1.18e-9
SEC14L3	6.42e-5
IPO8	1.07e-7
KIF3B	4.73e-5
CAPRIN2	1.69e-6
SDC4P	0.102757371
BACH1-IT3	2.03e-6
MIR4519	1.41e-7
SEC14L4	0.001110425
MIR762HG	0.500233406
GADL1	9.92e-10
BCL7C	3.31e-6
TAB3	1.29447e-4
CTF1	4.04e-7
KATNAL1	5.24e-8
ARHGAP11B	1.20808e-4
ASXL1	8.17e-7
SEC14L6	5.1e-6
LOC645485	0.025777158
AQP1	7e-9
LYZL2	5e-11
LINC00426	2.02e-6
FBXL19	9.9e-8
ORAI3	5.47e-14
SVIL2P	6.69e-7
LINC00941	2.21e-10
PURG	6.54e-9
SETD1A	7.22e-7
GAL3ST1	0.003899725
LINC02497	2.09e-8
LOC100288637	7.85969e-4
DCDC1	3.64e-8
PES1	7.36e-7
LINC01058	9.09e-9
HSD3B7	2.28e-6
GRIK1-AS2	3.79e-7
UBE2L5	0.00235445
TCN2	0.026172671
HMGB1	5.16e-6
STX1B	1.06e-7
GHRHR	2.34e-7
SLC35E4	4.16e-7
HERC2P10	2.10682e-4
STX4	3.27e-6
NOL4L	4.88e-7
CAPN13	3.95e-8
DUSP18	2.2e-8
G2E3-AS1	2.24e-7
ADCYAP1R1	5.26e-9
GRIK1-AS1	5.66e-11
ZNF668	3.85e-6
SCFD1	2.55e-6
PRSS53	0.54964162
LINC02644	1.06e-7
VKORC1	7.19e-7
LOC101929698	3.03e-8
MIR3200	0.018166255
BCKDK	2.3e-6
ZNF536	1.1e-6
TSPAN11	1.7e-8
KAT8	9.17e-10
FTHL17	2.04964e-4
PRSS8	4.92e-9
PRSS36	0.019200653
DDX11-AS1	1.51e-6
MATN1-AS1	8.24e-7
FUS	1.66e-8
USPL1	0.001235547
FAN1	2.02e-9
GALNT14	8.22e-6
OSBP2	9.43e-7
MATN1	1.98292e-4
MYO1D	1.75e-6
PYCARD-AS1	0.00235912
MIR4420	0.089489485
NOL4L-DT	6.33e-6
TRIM72	3.34e-8
DDX11	3.85e-5
PYDC1	0.002660647
ASXL3	7.01e-11
C20orf203	1.9e-7
LAPTM5	8.1e-5
ALOX5AP	4.59e-7
TMEM98	0.005449736
CDH6	1.1e-9
MTMR10	1.87335e-4
DMD	2.33e-7
MIR466	7.69e-8
LINC01778	2.45e-7
LOC107985544	0.211454612
ITGAM	1.03079e-4
GRIK1	5.95e-9
MORC2-AS1	0.058563491
HLA-B	0.080607412
COMMD7	5.4e-8
MORC2	0.004042658
COCH	6.03e-6
ZNF438	7.35e-8
TUG1	8.66e-7
MIR211	8.03e-5
OVOS2	3.2e-6
LOC100506071	2.79e-8
DNMT3B	3.57e-5
ITGAX	2.91796e-4
SDC3	6.22e-6
LINC01243	2.71e-12
NEUROD6	2.81e-8
SPACA3	1.41e-5
ITGAD	5.53e-8
SNORD103B	9.1e-5
MAPRE1	1.63e-7
LINC00398	5.55e-9
TRPM1	2.69e-5
LINC02664	1.02e-8
DNAJC24	1.11e-6
CAPN14	2.57e-5
FLJ13224	8.04e-6
SNORD103C	0.341147756
COX6A2	4.02e-5
LINC00545	2.61e-7
ZNF843	2.3e-9
CLDN17	7.12e-6
MIR624	8.05e-7
EHD3	2.4e-7
ARMC5	1.6e-6
TGFB1I1	0.112444495
SINHCAF	4.47e-6
SMTN	4.12e-6
MEDAG	8.09e-7
EFCAB8	2.44e-5
TEX26-AS1	0.001696591
ITPRID1	5.09e-9
NRG1	4.47e-12
SLC5A2	2.7e-6
DROSHA	3.58e-12
SELENOM	1.67e-9
