GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
TRA2B	3	185632356	185655924	36	8	401604	0.85198	0.19711
ETV5	3	185764106	185826901	102	14	400655	4.0935	2.1242e-05
DGKG	3	185852896	186080023	542	83	395819	2.8354	0.0022881
CRYGS	3	186256232	186263049	8	4	407105	-1.0053	0.84263
TBCCD1	3	186263856	186288332	53	9	358841	0.057994	0.47688
DNAJB11	3	186288467	186303589	44	4	348436	0.54296	0.29358
AHSG	3	186330850	186339107	22	6	394669	-0.31645	0.62417
FETUB	3	186353758	186370797	45	13	386191	1.2691	0.1022
HRG	3	186383747	186396023	32	8	394053	1.2494	0.10575
KNG1	3	186435098	186462199	143	15	386376	-0.014542	0.5058
EIF4A2	3	186501361	186507686	14	7	383601	-1.0066	0.84293
RFC4	3	186507681	186524484	30	5	410021	-1.3242	0.90728
ADIPOQ	3	186560463	186576252	51	14	400594	-0.53532	0.70379
ST6GAL1	3	186648315	186796341	562	67	399528	0.9014	0.18369
RPL39L	3	186838741	186857263	38	6	392702	-0.54728	0.70791
RTP1	3	186915274	186919253	8	4	380115	0.40149	0.34403
MASP1	3	186933873	187009810	222	37	400350	0.047845	0.48092
RTP4	3	187086168	187089372	13	5	393772	0.84307	0.19959
SST	3	187386694	187388201	7	3	332478	0.23065	0.40879
RTP2	3	187416047	187420345	17	4	359300	-0.67647	0.75063
BCL6	3	187439165	187463513	72	14	398422	0.52632	0.29933
LPP	3	187871097	188608460	2020	189	394953	3.4514	0.00027882
TPRG1	3	188817910	189041271	521	43	394682	0.10749	0.4572
TP63	3	189348942	189615068	1005	113	397185	1.2955	0.097567
P3H2	3	189674517	189840226	534	26	403763	-1.9184	0.97247
CLDN1	3	190023490	190040235	85	19	395330	-0.014801	0.5059
CLDN16	3	190105661	190129932	75	11	407444	-2.178	0.9853
TMEM207	3	190146444	190167665	66	14	397079	-1.1364	0.87211
IL1RAP	3	190231840	190378856	465	68	391624	1.0881	0.13827
GMNC	3	190570526	190610190	126	28	374793	-1.4505	0.92654
OSTN	3	190917039	190983404	210	26	394207	-0.12295	0.54893
UTS2B	3	190984944	191048325	282	19	400747	-1.906	0.97167
CCDC50	3	191046874	191116459	306	19	405487	0.4945	0.31048
PYDC2	3	191178952	191179245	1	1	413466	-0.14742	0.5586
FGF12	3	191857033	192445388	1598	135	398473	4.2153	1.2471e-05
MB21D2	3	192514604	192635950	352	25	396472	0.016195	0.49354
PLAAT1	3	192948030	193025102	169	17	398240	0.63265	0.26348
ATP13A5	3	192992831	193096514	332	26	403379	0.54795	0.29186
ATP13A4	3	193119866	193272810	353	39	397847	-1.3418	0.91017
OPA1	3	193310933	193415600	251	16	402603	-0.9284	0.8234
HES1	3	193853931	193856401	3	1	398789	1.0507	0.14669
CPN2	3	194060494	194072063	69	8	400072	0.66357	0.25348
LRRC15	3	194075976	194090472	102	8	399527	0.5876	0.2784
GP5	3	194115550	194119995	15	2	412117	0.16658	0.43385
ATP13A3	3	194123403	194188968	113	12	377449	0.69692	0.24293
TMEM44	3	194308402	194354150	262	20	400695	-0.31909	0.62517
LSG1	3	194361517	194393206	144	10	400341	-0.16299	0.56474
FAM43A	3	194406622	194409766	10	3	392430	0.04173	0.48336
XXYLT1	3	194789008	194991895	650	42	396540	2.4796	0.0065765
ACAP2	3	194995465	195163817	496	16	384582	1.6396	0.050549
PPP1R2	3	195241221	195270224	82	11	398816	-1.2511	0.89455
APOD	3	195295573	195311076	63	14	380211	0.37831	0.3526
MUC20	3	195416293	195467004	61	16	374834	1.7308	0.041747
MUC4	3	195473636	195539148	197	21	396686	-0.66461	0.74685
TNK2	3	195590235	195635880	125	24	368166	-0.98506	0.8377
TFRC	3	195776155	195809032	112	12	401495	0.47619	0.31697
ZDHHC19	3	195924323	195938308	82	13	390476	1.3084	0.095372
SLC51A	3	195943383	195960301	53	8	403040	1.0278	0.15203
PCYT1A	3	195961239	196014623	117	12	395651	1.0911	0.13761
DYNLT2B	3	196018090	196045165	62	8	403918	0.32604	0.3722
TM4SF19	3	196050417	196065291	49	9	397613	-0.079002	0.53148
UBXN7	3	196079745	196159411	122	16	387414	1.6474	0.049734
RNF168	3	196195654	196230639	98	11	395789	-0.68387	0.75297
SMCO1	3	196233750	196242237	15	3	358742	1.201	0.11488
WDR53	3	196281024	196295627	30	4	397980	0.22835	0.40969
FBXO45	3	196295725	196315930	44	9	387269	0.75681	0.22458
NRROS	3	196366656	196388875	115	33	397322	1.1776	0.11947
CEP19	3	196433144	196439131	25	4	390727	-0.78938	0.78505
PIGX	3	196439234	196462878	76	7	404534	-0.34901	0.63646
PAK2	3	196466728	196559518	357	31	397201	-1.1959	0.88413
SENP5	3	196594727	196661585	167	16	396396	0.15743	0.43745
NCBP2	3	196662273	196669464	24	6	393675	-0.77938	0.78212
PIGZ	3	196673214	196695742	78	18	385379	-0.33949	0.63288
MELTF	3	196728611	196756687	69	14	383405	0.19957	0.42091
DLG1	3	196769431	197026171	619	26	390529	0.44232	0.32913
BDH1	3	197236654	197300194	245	29	396626	-2.2841	0.98882
RUBCN	3	197398259	197476568	146	10	389155	1.7318	0.041655
FYTTD1	3	197476424	197511317	49	6	361171	-0.071237	0.5284
LRCH3	3	197518112	197615307	210	31	385076	-1.7926	0.96348
IQCG	3	197615946	197686982	191	17	395967	-2.3337	0.9902
RPL35A	3	197677023	197682722	12	2	407502	-2.0268	0.97866
LMLN	3	197687071	197770591	213	18	383682	-0.25579	0.60094
FAM157A	3	197879039	197907728	3	2	404176	0.14071	0.44405
ZNF595	4	53227	88099	45	7	400350	-1.2711	0.89815
ZNF718	4	124420	156491	55	7	384891	-2.4608	0.99307
ZNF732	4	264464	299110	109	12	396702	-1.0438	0.85172
ZNF141	4	331417	370076	114	13	383786	-0.1458	0.55796
ZNF721	4	433773	492960	178	16	395244	-0.31957	0.62535
PIGG	4	492989	533320	145	10	394238	1.2702	0.10201
PDE6B	4	619363	664681	152	12	374614	0.77158	0.22018
ATP5ME	4	666225	668127	4	2	336536	2.1228	0.016887
MYL5	4	669717	675822	10	5	395473	1.8994	0.028756
SLC49A3	4	669992	683257	23	7	354044	2.2224	0.013128
PCGF3	4	699537	764428	234	32	395028	2.0756	0.018967
CPLX1	4	778745	819945	172	25	389072	1.0259	0.15246
GAK	4	843065	926174	337	29	388340	-0.21799	0.58628
TMEM175	4	926175	952444	68	14	376842	0.42992	0.33363
DGKQ	4	952672	967348	41	10	389763	1.502	0.066551
SLC26A1	4	972861	987228	36	11	377540	1.9289	0.026871
IDUA	4	980785	998317	69	17	377011	1.4478	0.073837
FGFRL1	4	1004712	1020686	59	12	403351	1.1512	0.12483
RNF212	4	1050039	1107352	271	10	379101	-0.31884	0.62507
SPON2	4	1160720	1202750	93	21	391047	1.4777	0.069746
NA	4	1193923	1195046	4	2	353529	2.5166	0.0059248
CTBP1	4	1205228	1242908	115	15	396769	1.8064	0.035427
MAEA	4	1283642	1333925	245	14	396475	1.6146	0.053197
NA	4	1317222	1319906	2	1	413017	0.51445	0.30347
UVSSA	4	1341043	1381837	153	17	390597	2.31	0.010444
NA	4	1385340	1389782	11	3	395890	2.0555	0.019917
FAM53A	4	1641608	1685988	138	10	390192	-0.95543	0.83032
SLBP	4	1694527	1714421	50	11	395862	-0.73251	0.76807
TMEM129	4	1717679	1723084	24	6	403559	-0.3397	0.63296
TACC3	4	1723217	1746905	142	14	393650	-0.36913	0.64398
FGFR3	4	1795039	1810599	37	9	383661	-0.032275	0.51287
LETM1	4	1813206	1857974	28	17	366215	0.091523	0.46354
NSD2	4	1873123	1983934	70	29	367810	0.47579	0.31711
NELFA	4	1984441	2010962	40	5	398945	0.75294	0.22574
C4orf48	4	2043720	2045697	4	2	409795	1.8781	0.030184
NAT8L	4	2061239	2070816	11	2	409073	2.0134	0.022038
POLN	4	2073645	2243848	384	12	402958	2.1638	0.015241
HAUS3	4	2230096	2243860	30	4	410049	1.6682	0.047635
MXD4	4	2249160	2263739	38	4	395315	2.0015	0.022669
ZFYVE28	4	2271324	2420370	577	42	396871	2.0648	0.019472
CFAP99	4	2420701	2464690	142	18	392582	1.1672	0.12156
RNF4	4	2470795	2517586	110	17	392428	-0.62493	0.73399
FAM193A	4	2627159	2734302	270	21	389716	0.39517	0.34636
TNIP2	4	2743387	2758103	56	11	402041	0.71166	0.23834
SH3BP2	4	2794750	2842823	186	27	395184	1.0238	0.15296
ADD1	4	2845454	2931803	136	17	395256	1.2384	0.10778
MFSD10	4	2932288	2936586	7	3	379618	1.5334	0.062584
NOP14	4	2939663	2965233	57	9	388475	0.50739	0.30594
GRK4	4	2965232	3042474	232	18	401521	0.64949	0.25801
HTT	4	3076408	3245687	338	19	396271	0.94553	0.17219
MSANTD1	4	3250766	3273465	85	7	402640	2.0892	0.018346
RGS12	4	3315874	3441640	290	36	393569	3.4285	0.00030348
HGFAC	4	3443702	3451214	36	12	370319	0.16944	0.43272
DOK7	4	3465033	3503203	259	25	390630	2.1098	0.017436
LRPAP1	4	3505324	3534224	150	20	397572	0.4948	0.31037
ADRA2C	4	3768296	3770253	3	2	296609	1.6818	0.046306
OTOP1	4	4190530	4228621	156	18	405526	-0.71051	0.76131
TMEM128	4	4237269	4249965	89	4	405398	-1.8174	0.96542
LYAR	4	4269428	4291896	96	10	388257	0.0491	0.48042
ZBTB49	4	4291924	4323513	101	10	396707	-0.88244	0.81123
NSG1	4	4387983	4420785	102	11	399279	-0.29831	0.61727
STX18	4	4420695	4543775	305	17	392715	0.252	0.40052
MSX1	4	4861392	4865663	19	6	411401	-0.43045	0.66656
CYTL1	4	5016313	5021197	25	4	409931	-0.78513	0.78381
STK32B	4	5053527	5502728	1936	98	390747	-0.49345	0.68915
EVC2	4	5544531	5711275	580	49	395539	-0.17065	0.56775
EVC	4	5712924	5816031	514	54	399247	-0.65568	0.74398
CRMP1	4	5822491	5894785	270	39	394894	0.59675	0.27534
C4orf50	4	5899318	5992175	516	50	398320	1.4079	0.079587
JAKMIP1	4	6026661	6202318	603	100	389987	0.67031	0.25133
WFS1	4	6271577	6304992	166	10	390317	0.88224	0.18882
PPP2R2C	4	6322305	6565327	947	98	388591	1.5166	0.064682
MAN2B2	4	6576902	6624188	141	21	363083	2.4895	0.0063953
MRFAP1	4	6641818	6644472	8	3	381397	1.9716	0.024327
S100P	4	6695566	6698897	14	3	410828	2.6811	0.0036694
MRFAP1L1	4	6709428	6711606	1	1	410068	-0.74545	0.772
BLOC1S4	4	6717842	6719387	2	1	409103	1.5949	0.055373
KIAA0232	4	6784459	6885899	142	23	393836	-0.99669	0.84054
TBC1D14	4	6911171	7034845	445	24	397372	-0.29153	0.61468
CCDC96	4	7042576	7044728	3	2	410384	0.025451	0.48985
TADA2B	4	7045156	7059679	50	10	398603	0.17732	0.42963
GRPEL1	4	7061780	7069800	26	5	383542	0.35095	0.36281
SORCS2	4	7194374	7744564	2921	254	395576	0.98002	0.16354
PSAPL1	4	7432021	7436700	39	8	403703	0.48563	0.31361
AFAP1	4	7760440	7941653	900	40	400146	-0.79234	0.78592
LOC389199	4	7940734	7942023	8	1	413466	-1.7198	0.95727
ABLIM2	4	7967037	8160559	753	103	398009	-0.53542	0.70382
SH3TC1	4	8201060	8242830	151	32	383656	-1.6375	0.94924
HTRA3	4	8271487	8308838	144	17	376602	-1.417	0.92176
ACOX3	4	8368009	8442452	267	22	397381	-1.8502	0.96786
TRMT44	4	8442532	8478282	96	15	404637	-1.5425	0.93852
GPR78	4	8581964	8591750	77	16	395730	1.1392	0.12731
CPZ	4	8594387	8621488	185	24	392441	1.4844	0.068855
HMX1	4	8847803	8873543	71	17	394040	-0.11098	0.54418
FAM86KP	4	9155022	9167220	16	8	320468	0.75297	0.22573
DEFB108F	4	9400867	9405291	35	6	375882	1.636	0.050922
DEFB131A	4	9446260	9452240	21	3	404938	-1.0019	0.84181
LOC101928948	4	9533585	9609872	485	23	390707	-1.5615	0.94079
DRD5	4	9783258	9785633	4	2	412146	1.2726	0.10158
SLC2A9	4	9827848	10041872	978	27	398901	-1.4253	0.92296
WDR1	4	10075963	10118612	157	15	396599	-2.0799	0.98123
ZNF518B	4	10441497	10459032	36	12	371951	0.19015	0.4246
CLNK	4	10491838	10686386	655	36	395017	0.10001	0.46017
HS3ST1	4	11399988	11431255	98	31	401301	0.81218	0.20834
RAB28	4	13343863	13485989	441	15	387107	0.31514	0.37633
NKX3-2	4	13542454	13546114	5	3	352447	-0.61466	0.73061
BOD1L1	4	13570362	13629334	96	15	399023	0.0063206	0.49748
CPEB2	4	15004298	15071777	155	19	392008	3.5564	0.00018802
C1QTNF7	4	15341560	15447791	288	17	397843	-2.3357	0.99025
CC2D2A	4	15471489	15603594	278	27	398348	-1.0306	0.84863
FBXL5	4	15606007	15661487	154	15	404329	-0.17151	0.56809
FAM200B	4	15683352	15692070	18	5	381656	0.60201	0.27358
BST1	4	15704573	15741121	158	14	399564	0.28951	0.3861
CD38	4	15779921	15850706	215	18	399865	0.10319	0.45891
FGFBP1	4	15937192	15940363	9	3	412631	-0.77708	0.78144
FGFBP2	4	15961863	15964859	11	3	408762	0.04583	0.48172
PROM1	4	15969849	16085723	360	53	401658	0.37171	0.35505
TAPT1	4	16162128	16228161	218	21	402829	0.87941	0.18959
LDB2	4	16503164	16900424	1086	115	391467	0.55982	0.2878
QDPR	4	17488016	17513857	104	15	409327	0.95246	0.17043
CLRN2	4	17516788	17528727	31	7	403133	0.2972	0.38316
LAP3	4	17578927	17609590	65	4	406595	0.30765	0.37917
MED28	4	17616273	17626160	29	3	389222	0.96794	0.16654
FAM184B	4	17633696	17783135	362	13	395889	0.84136	0.20007
DCAF16	4	17802278	17812386	12	2	396634	-0.50038	0.6916
NCAPG	4	17812436	17846488	63	8	367135	-0.24211	0.59565
LCORL	4	17844839	18023483	400	15	345681	0.13426	0.4466
SLIT2	4	20254566	20622184	910	106	390746	0.020138	0.49197
PACRGL	4	20702036	20729980	104	13	395891	0.50036	0.30841
KCNIP4	4	20730234	21950424	4314	176	381766	-1.3621	0.91342
ADGRA3	4	22388997	22517677	458	43	395044	-1.4384	0.92484
GBA3	4	22694537	22821198	222	27	389438	-0.22957	0.59079
PPARGC1A	4	23793644	24474394	1862	146	395082	3.689	0.00011258
DHX15	4	24529087	24586184	129	17	396101	1.01	0.15625
SOD3	4	24797085	24802467	16	6	365449	0.1667	0.4338
CCDC149	4	24807739	24981826	507	35	391037	1.058	0.14503
LGI2	4	25000471	25032414	142	21	402665	0.53943	0.2948
SEPSECS	4	25121627	25162204	75	14	397166	-0.72355	0.76533
PI4K2B	4	25235653	25280831	135	20	389033	-0.25172	0.59937
ZCCHC4	4	25314396	25374190	160	18	405230	0.35326	0.36195
ANAPC4	4	25378848	25420120	144	11	398055	0.35741	0.36039
SLC34A2	4	25656853	25680735	51	16	392986	0.87264	0.19143
SEL1L3	4	25749049	25864647	263	40	395467	-0.54668	0.7077
SMIM20	4	25915528	25931501	39	11	383248	-0.36037	0.64072
RBPJ	4	26165077	26436753	457	51	390600	-0.084565	0.5337
CCKAR	4	26483018	26492042	25	6	391659	0.10367	0.45872
TBC1D19	4	26585546	26758232	177	10	382346	1.2833	0.099687
STIM2	4	26859329	27027003	286	23	382696	1.0565	0.14538
PCDH7	4	30721951	31148423	1172	57	394703	0.80086	0.21161
ARAP2	4	36067620	36245979	398	31	393197	2.0851	0.018528
DTHD1	4	36283237	36346407	200	33	386594	0.24656	0.40263
NWD2	4	37246690	37451087	646	60	397346	1.2822	0.099891
C4orf19	4	37455552	37595132	561	48	404846	0.37966	0.3521
RELL1	4	37592422	37687999	339	47	390516	-1.5492	0.93934
PGM2	4	37828282	37864559	158	15	403358	-1.7259	0.95781
TBC1D1	4	37889606	38140796	786	64	394322	-0.46939	0.68061
PTTG2	4	37962056	37962631	2	1	413466	-0.79618	0.78703
KLF3	4	38665790	38703129	95	21	394469	-1.4518	0.92672
TLR10	4	38773860	38784611	80	9	411405	1.8268	0.033863
TLR1	4	38797876	38806814	32	5	410470	-1.0276	0.84792
TLR6	4	38825325	38858438	107	10	410026	-1.2984	0.90293
FAM114A1	4	38869354	38947365	274	21	401592	-1.6788	0.95341
TMEM156	4	38968052	39034041	264	31	398906	-0.065949	0.52629
KLHL5	4	39046308	39127853	244	10	406551	-0.43108	0.66679
WDR19	4	39184024	39287430	173	10	402162	0.45404	0.3249
RFC1	4	39289069	39368001	117	10	394702	0.12911	0.44863
KLB	4	39408473	39453153	138	27	397479	1.9037	0.028475
RPL9	4	39455744	39460568	19	5	413032	1.7869	0.036973
LIAS	4	39460644	39479273	59	11	408743	0.78588	0.21597
UGDH	4	39500375	39529218	109	14	395227	1.1217	0.13099
SMIM14	4	39548917	39640481	206	26	394540	0.70153	0.24148
UBE2K	4	39699664	39784412	245	19	397083	1.6183	0.052797
PDS5A	4	39824483	39979576	380	25	391584	-0.375	0.64617
N4BP2	4	40058524	40159872	228	26	397671	-0.32155	0.6261
RHOH	4	40192631	40246384	157	27	402489	-0.015423	0.50615
CHRNA9	4	40337346	40357234	102	10	408148	-0.8617	0.80557
RBM47	4	40425272	40632958	590	88	392738	0.4701	0.31914
NSUN7	4	40751914	40812002	137	17	384663	-0.044362	0.51769
APBB2	4	40812044	41218731	1401	75	396849	0.94491	0.17235
UCHL1	4	41258898	41270446	40	8	399510	0.73756	0.23039
LIMCH1	4	41362802	41702061	805	65	393728	0.038733	0.48455
PHOX2B	4	41746099	41750987	10	3	411213	0.12184	0.45151
TMEM33	4	41937137	41962824	72	7	398553	0.21433	0.41514
DCAF4L1	4	41983713	41988484	14	5	399834	1.4298	0.076389
SLC30A9	4	41992516	42089551	349	10	397404	1.9812	0.023782
BEND4	4	42112870	42154895	105	14	386819	1.7133	0.043327
SHISA3	4	42399856	42404504	17	6	393541	0.97165	0.16561
ATP8A1	4	42410390	42659122	733	34	401558	0.55456	0.2896
GRXCR1	4	42895283	43032675	423	33	397580	2.1415	0.016117
KCTD8	4	44175920	44450824	624	45	392211	-2.6656	0.99616
YIPF7	4	44624354	44653658	111	13	402747	-0.20674	0.58189
GUF1	4	44680433	44702944	36	5	399744	-1.4257	0.92302
GNPDA2	4	44694190	44728651	81	8	399330	-1.0566	0.85466
GABRG1	4	46037786	46126082	264	16	398229	1.149	0.12527
GABRA2	4	46246470	46392056	302	18	401108	4.1061	2.0121e-05
COX7B2	4	46736844	46911252	342	20	403308	1.5079	0.065787
GABRA4	4	46920917	46996424	228	21	401587	3.2606	0.00055583
GABRB1	4	47033295	47432801	908	60	396947	2.2459	0.012356
COMMD8	4	47452815	47465676	22	5	393828	0.33283	0.36963
ATP10D	4	47487296	47595503	364	34	399259	1.2471	0.10617
CORIN	4	47596015	47840395	594	35	393847	0.35749	0.36036
NFXL1	4	47849250	47916684	161	14	404997	1.0206	0.15373
CNGA1	4	47937994	48018646	260	14	405496	0.57022	0.28426
NIPAL1	4	48018791	48039084	58	9	403271	1.9828	0.023696
TXK	4	48068410	48136273	155	18	399694	0.90066	0.18388
TEC	4	48137800	48271814	458	34	405803	-0.76379	0.7775
SLAIN2	4	48343497	48428218	214	15	401874	1.9596	0.025019
SLC10A4	4	48485360	48491541	11	3	390139	3.8909	4.9933e-05
ZAR1	4	48492269	48496406	14	4	379428	3.2186	0.00064401
FRYL	4	48499380	48782329	347	21	389443	3.1265	0.00088449
OCIAD1	4	48832599	48863834	34	5	396746	3.4002	0.00033668
OCIAD2	4	48887405	48908815	27	7	390207	2.1986	0.013952
CWH43	4	48988264	49064096	121	10	385390	0.24378	0.4037
DCUN1D4	4	52700010	52783003	106	11	386436	-0.18322	0.57269
LRRC66	4	52859806	52886477	29	8	379457	1.0529	0.14618
SGCB	4	52885752	52904485	23	5	381663	0.48947	0.31225
SPATA18	4	52917578	52963461	88	10	395447	0.96494	0.16729
USP46	4	53457126	53525502	80	6	397891	-0.70788	0.76049
ERVMER34-1	4	53609684	53617807	16	3	402505	-2.0148	0.97804
RASL11B	4	53728495	53733002	11	3	393409	-0.042707	0.51703
SCFD2	4	53738797	54232242	997	62	388427	1.9809	0.023801
FIP1L1	4	54243803	54326103	221	16	397884	2.0246	0.021455
LNX1	4	54326437	54518653	579	47	404118	1.734	0.041459
COMMD5P1	4	54441696	54442556	2	1	413361	1.1132	0.13281
CHIC2	4	54874540	54931562	67	8	400749	-0.18459	0.57323
GSX2	4	54966248	54968122	6	2	413386	1.3901	0.082247
PDGFRA	4	55095264	55164412	135	11	393966	-0.074615	0.52974
KIT	4	55524095	55606881	185	26	400105	2.8559	0.002146
KDR	4	55944426	55991762	117	25	406473	1.0599	0.14458
SRD5A3	4	56212388	56239267	78	14	394088	0.56395	0.28639
TMEM165	4	56262080	56292342	69	10	402148	-1.408	0.92043
CLOCK	4	56294068	56413076	409	13	401583	-0.31437	0.62338
PDCL2	4	56422686	56458418	121	12	385172	-0.17668	0.57012
NMU	4	56461396	56502465	135	16	367293	1.8768	0.03027
EXOC1	4	56719802	56771244	103	16	404488	-0.30137	0.61843
CEP135	4	56814974	56899529	172	21	389570	1.2294	0.10946
CRACD	4	57036361	57196890	498	66	394109	-0.81447	0.79231
AASDH	4	57204450	57254265	139	16	396369	0.44244	0.32909
PPAT	4	57259528	57301802	102	13	392215	0.47098	0.31883
PAICS	4	57276682	57327534	120	15	393955	0.12564	0.45001
SRP72	4	57333370	57369847	105	11	401893	0.30766	0.37917
ARL9	4	57371375	57390149	51	11	375437	0.58459	0.27941
THEGL	4	57396775	57469489	252	30	392645	-0.17812	0.57068
HOPX	4	57514154	57547874	124	21	374468	0.30248	0.38114
SPINK2	4	57676026	57688035	49	12	400261	0.42497	0.33543
REST	4	57774042	57802010	77	14	395158	-2.2092	0.98642
NOA1	4	57829516	57843826	41	10	397479	-1.7088	0.95625
POLR2B	4	57844944	57897334	153	19	402462	-1.5454	0.93888
IGFBP7	4	57897237	57976551	419	39	403079	-0.69025	0.75498
ADGRL3	4	62066949	62938168	1800	113	392664	2.9824	0.0014298
TECRL	4	65142024	65275196	456	17	396854	0.045753	0.48175
EPHA5	4	66185281	66536529	1248	64	397293	1.21	0.11314
CENPC	4	68337989	68411256	223	16	397327	0.60208	0.27356
STAP1	4	68424415	68473059	186	24	404514	1.5047	0.0662
UBA6	4	68481479	68566889	248	15	398748	1.0502	0.14681
GNRHR	4	68603093	68621804	59	8	403149	0.70503	0.2404
TMPRSS11D	4	68686594	68749716	143	18	398825	-0.42948	0.66621
TMPRSS11A	4	68776019	68829232	147	20	391323	-0.58759	0.7216
TMPRSS11F	4	68918916	68995587	171	10	405719	0.23844	0.40577
TMPRSS11B	4	69092371	69111412	25	3	408556	-1.9526	0.97457
YTHDC1	4	69176105	69215824	63	13	392631	-0.37421	0.64588
TMPRSS11E	4	69313167	69363322	205	16	400012	0.14379	0.44283
UGT2B17	4	69402902	69434245	5	1	335922	-1.6693	0.95248
UGT2B15	4	69512315	69536494	77	20	397243	-0.47333	0.68201
UGT2B10	4	69681713	69697741	71	8	399787	-0.84437	0.80077
UGT2A3	4	69794177	69817509	68	5	407141	0.22546	0.41081
UGT2B7	4	69955190	69978705	124	5	406732	1.3557	0.087593
UGT2B11	4	70066035	70080449	47	9	399844	-0.52192	0.69914
UGT2B28	4	70146217	70160768	3	1	369132	0.11929	0.45252
UGT2B4	4	70345883	70391732	171	12	405704	-0.091976	0.53664
UGT2A2	4	70454135	70505360	219	19	405674	-2.4347	0.99255
UGT2A1	4	70454135	70518967	277	17	404371	-2.2522	0.98784
SULT1B1	4	70591838	70626430	117	14	406213	1.3733	0.084836
SULT1E1	4	70706930	70725870	52	12	406877	0.59751	0.27508
CSN1S1	4	70796799	70812288	34	7	384829	0.72215	0.2351
CSN2	4	70820974	70826726	13	3	402730	0.7588	0.22399
STATH	4	70861648	70868173	11	5	391790	-0.09016	0.53592
HTN3	4	70894130	70902255	24	5	406715	0.44849	0.3269
HTN1	4	70916159	70924559	31	8	399258	0.70824	0.2394
PRR27	4	71017793	71032326	36	8	381551	0.86988	0.19218
ODAM	4	71061441	71070293	26	5	412953	0.44006	0.32995
FDCSP	4	71091788	71100969	16	5	363543	2.435	0.0074459
CSN3	4	71108333	71117149	66	5	409444	2.3251	0.010034
CABS1	4	71200671	71202833	6	2	413351	-0.6448	0.74047
SMR3A	4	71226493	71232823	39	9	413153	-0.27688	0.60906
SMR3B	4	71248795	71255961	43	5	402805	-0.52793	0.70123
OPRPN	4	71263599	71275914	45	10	412111	0.89883	0.18437
MUC7	4	71296209	71348714	194	19	402676	1.335	0.090932
AMTN	4	71384298	71398460	79	8	408544	0.59184	0.27698
AMBN	4	71457975	71473005	57	15	403927	0.8059	0.21015
ENAM	4	71494461	71512536	33	3	390453	-1.1658	0.87815
JCHAIN	4	71521258	71532348	8	3	367256	-0.11496	0.54576
UTP3	4	71554196	71556268	4	2	376956	0.58484	0.27933
RUFY3	4	71570647	71674336	313	11	316171	0.42377	0.33587
GRSF1	4	71681499	71705627	72	8	311523	0.78487	0.21626
MOB1B	4	71768043	71853891	109	13	321805	0.64949	0.25801
DCK	4	71859265	71896631	62	10	350354	-0.28352	0.61161
SLC4A4	4	72053003	72437804	668	39	392653	0.76967	0.22075
GC	4	72607410	72671237	143	19	399515	-0.48886	0.68753
NPFFR2	4	72897521	73013918	282	10	383335	0.38495	0.35014
ADAMTS3	4	73146686	73434516	488	31	397014	0.40638	0.34223
COX18	4	73920416	73935476	13	4	393410	0.49118	0.31165
ANKRD17	4	73940502	74124858	142	23	391200	0.63163	0.26381
ALB	4	74269972	74287129	35	5	395137	-1.1418	0.87323
AFP	4	74301933	74321492	36	7	405282	0.45256	0.32543
AFM	4	74347462	74369718	52	8	383344	2.1309	0.016548
RASSF6	4	74437267	74486348	132	11	401558	1.337	0.090614
CXCL8	4	74606223	74609433	4	1	413466	-0.716	0.76301
CXCL6	4	74702273	74704477	4	2	402429	1.0112	0.15596
PF4V1	4	74719013	74720198	3	2	387976	0.59793	0.27494
CXCL1	4	74735109	74737019	5	2	374329	1.2817	0.099974
PF4	4	74846542	74847841	3	1	412401	1.502	0.066555
PPBP	4	74852156	74853907	1	1	158352	-0.92956	0.8237
CXCL5	4	74861359	74864446	6	3	391179	1.8714	0.030646
CXCL3	4	74902306	74904490	4	2	389548	-0.36436	0.6422
CXCL2	4	74962752	74964997	2	1	398618	0.20081	0.42042
MTHFD2L	4	74989019	75168816	256	19	378939	0.1076	0.45716
EPGN	4	75174187	75182520	12	2	354388	0.0088655	0.49646
EREG	4	75230860	75254477	73	7	396609	0.495	0.3103
AREG	4	75310853	75320726	1	1	393474	-0.27307	0.6076
BTC	4	75671448	75719882	191	13	399438	1.0836	0.13927
PARM1	4	75858285	75975325	186	21	393281	0.84841	0.1981
RCHY1	4	76404247	76439884	89	12	396194	1.1194	0.13149
THAP6	4	76439654	76468610	53	11	397500	1.247	0.10619
ODAPH	4	76481258	76491103	33	8	374660	2.0341	0.020972
CDKL2	4	76501704	76555721	113	11	374367	1.22	0.11124
G3BP2	4	76567953	76649709	193	18	407533	1.3065	0.095691
USO1	4	76649829	76735366	187	12	403264	0.38439	0.35035
PPEF2	4	76781025	76823681	81	13	389739	0.15256	0.43937
NAAA	4	76831808	76862166	136	14	403437	-0.3847	0.64977
SDAD1	4	76871064	76912115	88	14	393423	-0.43966	0.66991
CXCL9	4	76922623	76928641	11	4	401257	0.3462	0.3646
ART3	4	76932333	77033955	503	17	404777	-1.2649	0.89704
CXCL10	4	76942269	76944689	8	1	387856	-1.8919	0.97075
CXCL11	4	76954835	76957350	19	2	413466	-1.4875	0.93156
NUP54	4	77035812	77069668	212	8	405741	0.12064	0.45199
SCARB2	4	77079890	77135052	172	15	393454	0.37721	0.35301
FAM47E	4	77135193	77204936	319	20	407265	0.32706	0.37181
