GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
EMCN	4	101316498	101439250	61	9	1594150	4.0184	2.9298e-05
PPP3CA	4	101944587	102268655	132	22	1542895	3.6193	0.00014772
BANK1	4	102711764	102995969	116	14	1580258	7.4694	4.0287e-14
SLC39A8	4	103172198	103266655	51	11	1514021	7.6118	1.3512e-14
NFKB1	4	103422486	103538459	53	7	1541512	8.4361	1.6399e-17
MANBA	4	103552643	103682151	50	8	1541769	7.5515	2.1514e-14
UBE2D3	4	103715540	103790050	22	4	1548736	6.3709	9.3967e-11
CISD2	4	103749224	103813964	14	3	1501059	5.6205	9.5218e-09
SLC9B1	4	103806205	103947552	35	3	1559210	7.1049	6.0192e-13
SLC9B2	4	103946647	103998480	15	4	1460993	7.1526	4.2571e-13
BDH2	4	103998770	104021024	14	2	1595486	3.968	3.6246e-05
CENPE	4	104026963	104119566	30	4	1556185	7.81	2.8585e-15
TACR3	4	104510625	104640973	50	11	1534414	8.0956	2.8482e-16
CXXC4	4	105389463	105416058	9	3	1571120	3.9097	4.6207e-05
TET2	4	106067032	106200960	58	13	1558052	8.0255	5.0556e-16
PPA2	4	106290234	106395227	44	7	1569368	6.1094	5e-10
ARHGEF38	4	106473704	106602070	72	20	1447747	8.2948	5.44e-17
INTS12	4	106603784	106629881	12	3	1584312	4.4018	5.3675e-06
GSTCD	4	106629935	106768882	70	8	1568786	5.2192	8.9836e-08
NPNT	4	106816588	106892828	21	4	1504610	3.9185	4.4549e-05
TBCK	4	106967233	107237861	78	6	1565134	4.6948	1.3345e-06
AIMP1	4	107236767	107270382	16	2	1519313	4.0141	2.9838e-05
GIMD1	4	107279340	107288592	8	3	1594177	3.993	3.2624e-05
DKK2	4	107842959	107957453	44	12	1578949	1.4982	0.067043
PAPSS1	4	108534822	108641419	50	10	1514057	0.26336	0.39614
SGMS2	4	108745721	108836203	35	11	1507167	3.1614	0.00078498
CYP2U1	4	108852716	108874617	14	3	1590734	5.8971	1.8497e-09
HADH	4	108910870	108956331	21	2	1516607	5.3231	5.1021e-08
LEF1	4	108968701	109090112	44	8	1480577	7.827	2.4977e-15
RPL34	4	109541722	109551640	3	2	1582559	6.1374	4.1953e-10
OSTC	4	109571741	109588978	2	1	1589388	4.0856	2.1985e-05
ETNPPL	4	109663196	109684235	8	2	1597340	-1.5663	0.94136
COL25A1	4	109731877	110223799	215	45	1552856	5.7907	3.5051e-09
SEC24B	4	110354969	110461615	44	6	1477344	1.3032	0.096245
MCUB	4	110481355	110608872	49	9	1586051	2.2206	0.01319
CASP6	4	110609785	110629814	11	3	1570777	1.6504	0.049425
PLA2G12A	4	110631145	110651242	11	3	1429029	1.5264	0.063454
CFI	4	110661848	110723381	15	5	1520889	3.8711	5.4182e-05
GAR1	4	110736666	110745893	6	2	1475140	1.0282	0.15192
RRH	4	110749150	110765863	10	2	1593726	2.7137	0.0033273
LRIT3	4	110769340	110793471	14	4	1582417	4.3915	5.6298e-06
EGF	4	110834040	110934118	61	10	1525468	5.7522	4.4039e-09
ELOVL6	4	110970187	111120355	83	23	1563826	3.7265	9.707e-05
ENPEP	4	111397229	111484493	42	11	1498753	1.8847	0.029733
PITX2	4	111538579	111563279	12	3	1526043	4.0384	2.6905e-05
FAM241A	4	113066553	113110237	19	3	1587206	0.5647	0.28614
AP1AR	4	113152893	113191211	7	3	1566220	0.79063	0.21458
TIFA	4	113196782	113207059	8	2	1564798	0.83255	0.20255
ALPK1	4	113218480	113363774	99	26	1523897	3.0409	0.0011794
NEUROG2	4	113434672	113437328	1	1	1581222	1.0365	0.14997
ZGRF1	4	113460489	113558151	41	6	1503612	2.3849	0.008541
LARP7	4	113558120	113578748	5	2	1405194	1.4951	0.067448
ANK2	4	113739239	114304896	336	79	1495881	3.8775	5.2777e-05
CAMK2D	4	114372188	114683669	150	33	1501538	3.0153	0.0012838
ARSJ	4	114821432	114901281	53	11	1466870	6.1094	5e-10
UGT8	4	115519611	115598202	36	5	1523310	2.6302	0.0042668
NDST4	4	115748931	116035032	108	19	1525038	2.7393	0.0030784
TRAM1L1	4	118004710	118006736	1	1	1597370	-1.5771	0.94261
NDST3	4	118955500	119179789	84	12	1551283	5.9292	1.5222e-09
PRSS12	4	119201193	119274053	21	5	1551911	3.2188	0.00064372
METTL14	4	119606525	119633374	9	2	1596680	4.4437	4.4211e-06
SEC24D	4	119643978	119759838	43	8	1544402	4.3473	6.8897e-06
SYNPO2	4	119809996	119982402	121	26	1546232	4.7085	1.2477e-06
MYOZ2	4	120056939	120108944	18	4	1546351	8.3214	4.3449e-17
USP53	4	120133775	120216673	32	6	1563307	5.7176	5.401e-09
C4orf3	4	120217574	120225600	5	2	1596593	4.9459	3.79e-07
FABP2	4	120238405	120243316	8	2	1594000	6.1094	5e-10
PDE5A	4	120415550	120549981	57	6	1532541	5.9338	1.4798e-09
MAD2L1	4	120980577	120988013	5	1	1580646	3.0272	0.0012342
PRDM5	4	121613070	121844013	112	20	1589681	4.0559	2.4971e-05
NDNF	4	121956782	121993673	20	4	1569176	1.0338	0.1506
TNIP3	4	122052563	122148624	35	5	1508625	1.7719	0.038205
QRFPR	4	122249797	122302181	35	6	1561969	0.7955	0.21316
ANXA5	4	122589152	122618147	20	6	1568998	6.7994	5.2516e-12
SMIM43	4	122680085	122686516	5	2	1465197	7.294	1.5045e-13
EXOSC9	4	122722445	122738176	3	1	1570625	-1.4169	0.92175
CCNA2	4	122737599	122745153	7	3	1490451	6.1094	5e-10
BBS7	4	122745484	122791652	14	4	1547021	6.1094	5e-10
TRPC3	4	122800183	122872909	22	4	1577593	7.2205	2.5903e-13
BLTP1	4	123073488	123283914	33	8	1468981	3.3383	0.0004214
ADAD1	4	123300121	123350957	17	3	1578778	1.5187	0.064414
IL2	4	123372625	123377650	2	1	1596609	3.8425	6.0906e-05
IL21	4	123533783	123542212	3	1	1596601	1.6566	0.048805
BBS12	4	123653857	123666098	9	3	1430045	6.1661	3.5004e-10
FGF2	4	123747568	123819390	33	9	1533683	6.1094	5e-10
NUDT6	4	123813799	123844159	20	6	1530285	6.1094	5e-10
SPATA5	4	123844225	124240605	136	14	1549984	7.8711	1.7575e-15
SPRY1	4	124317946	124324915	6	2	1593082	1.887	0.029583
ANKRD50	4	125585203	125633887	21	3	1552401	3.9719	3.565e-05
FAT4	4	126237003	126414087	78	19	1546967	5.0455	2.2618e-07
INTU	4	128554087	128637934	24	3	1487627	0.93025	0.17612
SLC25A31	4	128651555	128695447	15	2	1502952	-0.68134	0.75217
HSPA4L	4	128703453	128755228	17	4	1554550	0.31341	0.37699
PLK4	4	128802016	128820379	6	2	1590569	-0.22131	0.58757
MFSD8	4	128838960	128887185	7	1	1594521	-0.41878	0.66231
ABHD18	4	128886411	128957478	17	7	1413980	-0.90737	0.81789
LARP1B	4	128982421	129144086	53	2	1578331	-1.3009	0.90336
PGRMC2	4	129190392	129209984	5	2	1587688	2.1904	0.014247
JADE1	4	129730779	129796379	24	4	1390036	-0.22367	0.58849
SCLT1	4	129805148	130014764	58	9	1577837	0.66798	0.25207
C4orf33	4	130014829	130034487	15	4	1591350	-0.18554	0.5736
PCDH10	4	134070470	134112732	12	5	1571582	1.9614	0.024913
PABPC4L	4	135117488	135122903	3	1	1293917	4.2182	1.2312e-05
PCDH18	4	138440072	138453629	5	2	1567200	-0.1691	0.56714
SLC7A11	4	139085248	139163572	37	8	1523627	5.5902	1.134e-08
NOCT	4	139936913	139967093	11	4	1537770	7.8973	1.4252e-15
ELF2	4	139978871	140098372	30	7	1587791	7.8355	2.3357e-15
MGARP	4	140187317	140201492	5	2	1592351	7.0979	6.3356e-13
NDUFC1	4	140211071	140223705	3	2	1461038	3.1576	0.00079537
NAA15	4	140222621	140311935	36	5	1571872	5.4954	1.9492e-08
RAB33B	4	140374961	140397070	7	1	1593540	4.7766	8.914e-07
SETD7	4	140427192	140477577	26	7	1580623	3.9204	4.4205e-05
MGST2	4	140586922	140661899	53	15	1502148	0.80289	0.21102
MAML3	4	140637545	141075233	234	57	1510348	5.9296	1.5179e-09
SCOC	4	141178440	141303710	44	10	1575243	0.86435	0.1937
CLGN	4	141309607	141348815	14	3	1596738	1.7456	0.040437
MGAT4D	4	141364529	141419531	25	4	1595885	0.50765	0.30585
ELMOD2	4	141445312	141474924	13	3	1590845	-0.11982	0.54769
UCP1	4	141481014	141489989	7	3	1520737	1.283	0.099754
TBC1D9	4	141541936	141677471	75	13	1570917	1.2744	0.10127
RNF150	4	141786708	142054630	138	38	1503604	3.4148	0.00031914
ZNF330	4	142142049	142155851	8	3	1461520	-0.67946	0.75158
IL15	4	142557749	142655140	33	6	1550605	1.8888	0.029456
INPP4B	4	142949181	143767604	334	49	1523099	6.0596	6.8215e-10
USP38	4	144106070	144143141	11	3	1588841	7.9196	1.1914e-15
GAB1	4	144257680	144395718	51	10	1403801	7.4534	4.5484e-14
SMARCA5	4	144434616	144478642	16	3	1455971	7.8268	2.5027e-15
FREM3	4	144498560	144621828	42	8	1548607	7.616	1.3079e-14
GYPE	4	144792019	144826716	4	2	1445790	6.6682	1.2944e-11
GYPB	4	144917257	144940498	1	1	1502213	1.0164	0.15472
GYPA	4	145030456	145061904	9	2	1503166	7.8942	1.4609e-15
HHIP	4	145567148	145662542	40	3	1577946	6.9497	1.83e-12
ANAPC10	4	145915727	146019693	25	7	1034949	6.1094	5e-10
ABCE1	4	146019156	146050676	11	6	1070223	6.1094	5e-10
OTUD4	4	146054802	146101768	14	6	1273838	6.1094	5e-10
NA	4	146402012	146403871	1	1	1597370	0.62588	0.2657
SMAD1	4	146402951	146480328	24	6	1471208	0.18907	0.42502
MMAA	4	146540540	146581187	16	6	1592789	4.4167	5.0119e-06
C4orf51	4	146601356	146653949	19	6	1578962	5.074	1.9473e-07
ZNF827	4	146681874	146859607	73	17	1528566	6.1094	5e-10
LSM6	4	147096835	147111213	9	2	1541942	-0.92074	0.82141
SLC10A7	4	147175137	147443123	88	10	1552771	5.2664	6.9554e-08
POU4F2	4	147560045	147563623	1	1	1597357	2.2227	0.013119
TTC29	4	147628179	147867034	64	9	1526074	3.8009	7.2074e-05
EDNRA	4	148402069	148466106	40	9	1484045	0.41251	0.33998
TMEM184C	4	148538539	148556674	5	1	1581681	0.55865	0.2882
PRMT9	4	148558936	148605381	17	3	1458613	-0.34185	0.63377
ARHGAP10	4	148653214	148993927	147	26	1497857	4.1022	2.0462e-05
NR3C2	4	148999915	149365850	177	43	1507562	3.8984	4.8417e-05
IQCM	4	150351097	150736980	97	14	1531241	1.511	0.065398
DCLK2	4	150999426	151178609	75	16	1526723	3.9158	4.5056e-05
LRBA	4	151185811	151936879	277	19	1579087	6.4803	4.577e-11
RPS3A	4	152020725	152025804	2	1	821699	1.9434	0.025982
SH3D19	4	152041433	152246797	66	10	1532708	8.2414	8.511e-17
PRSS48	4	152198152	152212719	9	3	1432551	6.9993	1.2863e-12
FHIP1A	4	152330398	152591655	73	7	1535702	8.4052	2.1359e-17
GATB	4	152591808	152682175	44	3	1572959	7.9009	1.384e-15
FBXW7	4	153242410	153456393	54	8	1435065	7.321	1.2306e-13
TMEM154	4	153547266	153601317	25	10	1472265	1.7656	0.038731
TIGD4	4	153689837	153700916	5	2	1594863	4.3203	7.7911e-06
ARFIP1	4	153701091	153833064	54	8	1544343	5.1894	1.0551e-07
FHDC1	4	153857265	153900848	26	10	1444592	4.4218	4.8935e-06
TRIM2	4	154073650	154260474	70	19	1518246	-0.042912	0.51711
MND1	4	154265801	154336247	30	6	1516286	3.0521	0.0011361
TMEM131L	4	154387498	154558760	85	25	1449433	7.067	7.9178e-13
TLR2	4	154605404	154627243	8	4	1445469	2.5257	0.0057739
RNF175	4	154631312	154681387	45	8	1566513	2.0038	0.022545
SFRP2	4	154701742	154710228	6	2	1594267	2.2308	0.012847
DCHS2	4	155155527	155412930	126	27	1546284	4.2269	1.1846e-05
PLRG1	4	155456149	155471585	8	2	1532950	3.8936	4.9381e-05
FGB	4	155484132	155493915	9	2	1579240	1.9805	0.023822
FGA	4	155504280	155511897	6	3	1252902	5.4449	2.5911e-08
FGG	4	155525286	155533902	5	3	1266015	4.1014	2.053e-05
LRAT	4	155665163	155674270	4	2	1597355	-0.024077	0.5096
RBM46	4	155702424	155749965	14	4	1464646	1.6643	0.048028
NPY2R	4	156094924	156138248	30	8	1485245	1.7215	0.042583
MAP9	4	156263810	156298122	28	5	1568552	0.68676	0.24612
GUCY1A1	4	156587862	156658214	41	11	1484651	2.9159	0.0017734
GUCY1B1	4	156680126	156728783	27	9	1439413	1.1045	0.13469
ASIC5	4	156750881	156787425	17	5	1521816	5.1473	1.3213e-07
TDO2	4	156824845	156841558	9	4	1357964	5.3169	5.278e-08
CTSO	4	156845270	156875048	28	8	1496572	1.8649	0.031095
PDGFC	4	157682763	157892546	73	15	1450052	6.5896	2.2047e-11
GLRB	4	157997277	158093251	33	7	1548465	1.9708	0.024373
GRIA2	4	158141736	158287227	48	8	1475700	1.1873	0.11756
GASK1B	4	159045732	159094202	29	4	1589648	6.0352	7.936e-10
TMEM144	4	159122749	159176439	16	4	1371579	2.0147	0.021969
RXFP1	4	159442866	159574524	24	4	1437852	2.8056	0.002511
C4orf46	4	159587827	159593407	2	1	1350237	2.9359	0.0016631
ETFDH	4	159593277	159629842	9	5	1471211	5.9816	1.1051e-09
PPID	4	159630279	159644552	5	2	1588307	4.4794	3.7427e-06
FNIP2	4	159690182	159829202	24	4	1510646	4.7022	1.2867e-06
C4orf45	4	159814684	159956333	72	11	1497288	4.367	6.2996e-06
RAPGEF2	4	160025224	160281314	77	13	1506530	7.365	8.8573e-14
FSTL5	4	162305044	163085186	331	61	1548508	2.8676	0.002068
NAF1	4	164047860	164088073	10	3	1538949	0.076006	0.46971
NPY1R	4	164245116	164265984	16	5	1565892	2.3426	0.0095755
NPY5R	4	164265062	164273540	3	2	1592026	2.584	0.0048824
TKTL2	4	164392245	164395047	1	1	1597317	0.80661	0.20995
TMA16	4	164415673	164441691	13	3	1564270	3.04	0.0011829
MARCHF1	4	164445450	165305093	375	68	1550183	3.7866	7.6375e-05
ANP32C	4	165118159	165118863	2	1	1544033	0.17528	0.43043
APELA	4	165798156	165818676	8	4	1478705	1.0396	0.14927
TRIM61	4	165875598	165898818	11	3	1417018	4.5215	3.0704e-06
FAM218A	4	165878100	165880273	3	1	1409439	4.3373	7.2127e-06
TRIM60	4	165953151	165962896	4	2	1479521	2.6492	0.0040336
TMEM192	4	165997230	166034024	14	4	1564314	1.9253	0.027094
KLHL2	4	166128770	166244308	29	6	1562392	2.428	0.0075909
MSMO1	4	166248818	166264316	15	5	1397563	3.5532	0.00019026
CPE	4	166300097	166419482	72	12	1544332	7.4361	5.1861e-14
TLL1	4	166794390	167026330	96	30	1516468	4.9902	3.0159e-07
SPOCK3	4	167654535	168155741	156	32	1570770	3.2501	0.00057683
ANXA10	4	169013688	169108893	30	5	1582928	4.155	1.6266e-05
DDX60	4	169137442	169239958	41	9	1556900	1.0938	0.13701
DDX60L	4	169277886	169401665	89	19	1548639	2.4778	0.0066095
PALLD	4	169418215	169849608	289	56	1520652	3.6307	0.0001413
CBR4	4	169815774	169931468	35	4	1568010	5.3044	5.6509e-08
SH3RF1	4	170015407	170192249	66	12	1511731	3.6907	0.00011182
NEK1	4	170314421	170533778	56	6	1589990	4.9497	3.7162e-07
CLCN3	4	170541672	170644338	43	10	1366392	5.7959	3.3986e-09
HPF1	4	170650619	170679093	14	3	1548551	1.8032	0.035679
MFAP3L	4	170907748	170948371	23	8	1517704	1.1347	0.12825
AADAT	4	170981373	171012823	16	5	1513884	3.4703	0.00025995
GALNTL6	4	172734575	173961559	424	57	1503322	2.2278	0.012947
GALNT7	4	174089904	174245118	46	10	1536344	1.6634	0.048117
HMGB2	4	174252527	174255595	1	1	1576628	-1.6009	0.9453
SAP30	4	174292093	174298683	1	1	1572963	0.92493	0.1775
SCRG1	4	174309299	174320617	3	1	1141400	-0.67466	0.75006
HAND2	4	174447652	174451378	1	1	1381740	0.73989	0.22968
FBXO8	4	175157809	175205415	16	5	1583866	3.6097	0.0001533
CEP44	4	175204828	175255506	19	6	1539700	2.7921	0.0026185
HPGD	4	175411328	175444049	24	8	1489832	-0.07787	0.53103
GLRA3	4	175545367	175750465	104	25	1524679	4.709	1.2445e-06
ADAM29	4	175839509	175899331	29	6	1556809	2.5909	0.0047867
GPM6A	4	176554088	176923842	176	46	1491497	2.3506	0.0093706
WDR17	4	176986985	177103979	35	7	1531173	1.6885	0.045655
SPATA4	4	177105725	177116822	10	4	1496738	1.09	0.13786
ASB5	4	177134824	177198722	46	10	1548787	2.5681	0.0051132
SPCS3	4	177241090	177253396	5	2	1592509	1.6858	0.04592
VEGFC	4	177604689	177713899	33	5	1474903	-0.11582	0.5461
NEIL3	4	178230991	178284092	45	13	1523606	0.055468	0.47788
AGA	4	178351928	178363657	9	4	1492513	-0.26799	0.60565
AGA-DT	4	178363692	178597453	83	18	1533026	0.21832	0.41359
TENM3	4	183065112	183724177	448	119	1496377	5.366	4.0248e-08
DCTD	4	183811244	183838630	32	7	1517429	2.0271	0.021328
WWC2	4	184020463	184241930	75	18	1429523	7.9811	7.2509e-16
CLDN24	4	184242917	184243579	1	1	1594424	7.3095	1.3403e-13
CDKN2AIP	4	184365788	184369348	1	1	1536440	1.3295	0.091833
ING2	4	184426220	184433422	4	2	1487083	0.93371	0.17523
RWDD4	4	184560789	184580331	14	6	1262523	0.75204	0.22601
TRAPPC11	4	184580420	184634747	21	4	1532324	2.2973	0.010799
STOX2	4	184826509	184944679	56	20	1403140	1.4014	0.08054
ENPP6	4	185009859	185139114	116	26	1506914	3.1471	0.00082442
IRF2	4	185308867	185395734	85	30	1404532	2.4771	0.0066229
CASP3	4	185548850	185570629	16	5	1247170	2.2136	0.013428
PRIMPOL	4	185570767	185616112	25	5	1425156	2.6203	0.0043923
CENPU	4	185615219	185655286	34	3	1541608	3.1208	0.00090195
ACSL1	4	185676749	185747215	37	9	1547079	4.7895	8.3598e-07
HELT	4	185940001	185941958	1	1	1460163	-1.1134	0.86724
SLC25A4	4	186064417	186071538	2	1	1551915	2.3795	0.0086681
CFAP97	4	186080815	186125182	10	2	1445778	3.3944	0.00034391
SNX25	4	186130773	186285120	54	9	1568703	2.6423	0.004117
LRP2BP	4	186285032	186318297	16	4	1519577	0.64903	0.25816
ANKRD37	4	186317840	186321529	1	1	1547479	0.71532	0.23721
UFSP2	4	186320691	186347139	11	3	1579548	1.6751	0.046958
C4orf47	4	186347220	186370982	6	2	1590623	1.8539	0.031879
CCDC110	4	186366336	186392913	16	5	1461287	1.4824	0.069122
PDLIM3	4	186421814	186456712	21	2	1356976	1.2369	0.10806
SORBS2	4	186506598	186877870	278	69	1488352	7.7456	4.7565e-15
TLR3	4	186990309	187006252	7	3	1480839	0.8381	0.20099
FAM149A	4	187026054	187093817	40	11	1440983	0.76738	0.22143
CYP4V2	4	187112565	187134617	18	5	1532785	0.23361	0.40765
KLKB1	4	187148502	187179625	23	8	1342548	-1.1506	0.87505
F11	4	187187099	187210835	29	7	1534231	0.66091	0.25433
MTNR1A	4	187454809	187476537	9	3	1456602	0.75971	0.22372
FAT1	4	187508937	187647876	83	23	1558008	2.425	0.0076532
ZFP42	4	188916925	188926199	4	2	1095695	1.8069	0.03539
TRIML2	4	189012427	189030416	11	4	1586490	-1.4865	0.93143
TRIML1	4	189060598	189068649	6	2	1590299	0.48959	0.31221
FRG1	4	190861974	190884360	4	1	1576366	0.066065	0.47366
PLEKHG4B	5	140373	190087	44	6	1448182	7.8293	2.4537e-15
LRRC14B	5	191626	195468	2	1	1459478	6.1094	5e-10
CCDC127	5	204875	218333	8	3	1372005	5.9963	1.0095e-09
SDHA	5	218338	256815	10	2	1438162	7.2986	1.4536e-13
PDCD6	5	271736	315089	15	3	1557659	6.4449	5.7857e-11
AHRR	5	304291	438406	69	17	1531473	8.0338	4.7236e-16
EXOC3	5	443305	467414	11	2	1583025	2.2171	0.013308
SLC9A3	5	473298	524549	27	10	1528088	3.8677	5.4941e-05
CEP72	5	612405	655807	21	3	1590234	2.8018	0.0025407
TPPP	5	659977	693510	15	5	1515869	1.7871	0.03696
ZDHHC11B	5	710470	784857	1	1	1258302	1.0326	0.1509
ZDHHC11	5	795720	859088	4	2	1196090	2.0162	0.021892
BRD9	5	863850	892939	7	3	1526034	3.7965	7.3381e-05
TRIP13	5	892764	918164	9	3	1476915	3.253	0.00057102
NKD2	5	1008941	1038927	10	3	1528957	2.0651	0.019455
SLC12A7	5	1050489	1112172	31	8	1453009	1.8475	0.032335
SLC6A19	5	1201710	1225232	21	7	1440234	1.7906	0.036675
SLC6A18	5	1225470	1246304	17	6	1568345	1.5754	0.057586
TERT	5	1253282	1295178	13	6	1348821	1.6572	0.048737
CLPTM1L	5	1317869	1345180	13	2	1588492	0.99795	0.15915
SLC6A3	5	1392905	1445543	36	14	1426731	3.9929	3.2632e-05
LPCAT1	5	1461542	1525644	42	13	1500544	4.4423	4.451e-06
MRPL36	5	1798499	1799956	1	1	1596594	1.9879	0.023411
NDUFS6	5	1801496	1816165	8	3	1592814	2.8496	0.0021886
IRX4	5	1877541	1887293	6	3	1581569	-0.79696	0.78726
IRX2	5	2746279	2751769	1	1	1462898	0.90152	0.18366
IRX1	5	3596168	3601517	4	2	1499039	1.8538	0.031881
ADAMTS16	5	5140443	5320412	195	52	1457055	1.0393	0.14934
ICE1	5	5422786	5490347	22	5	1530203	3.2308	0.00061717
MED10	5	6372039	6378639	6	2	1595283	-0.45191	0.67433
UBE2QL1	5	6437460	6496834	36	12	1534359	-0.48027	0.68448
NSUN2	5	6599352	6633473	38	6	1503107	5.3012	5.753e-08
SRD5A1	5	6633500	6669675	26	6	1528926	2.2695	0.01162
TENT4A	5	6714076	6757161	34	7	1537393	8.2493	7.9662e-17
ADCY2	5	7396343	7830194	271	48	1514272	6.1834	3.1368e-10
CFAP90	5	7830491	7851603	17	5	1496706	1.9944	0.023056
MTRR	5	7851299	7901237	46	11	1526446	4.7735	9.0518e-07
FASTKD3	5	7859272	7869150	12	4	1575915	4.8808	5.2817e-07
SEMA5A	5	9035138	9546233	384	86	1522796	2.567	0.0051292
TAS2R1	5	9629109	9630463	3	2	1579116	0.52918	0.29834
ATPSCKMT	5	10225619	10250145	35	9	1557626	3.2275	0.00062446
CCT5	5	10250041	10266501	20	4	1441400	2.6681	0.0038142
CMBL	5	10277707	10308168	16	3	1577473	0.87964	0.18953
MARCHF6	5	10353751	10440500	25	1	1582400	2.7474	0.0030039
ROPN1L	5	10441974	10465138	18	3	1514908	3.161	0.00078617
ANKRD33B	5	10564435	10657928	61	17	1448164	2.4437	0.0072686
DAP	5	10679342	10761387	58	10	1554011	3.8404	6.1419e-05
CTNND2	5	10971952	11904155	626	112	1513594	4.3237	7.6723e-06
DNAH5	5	13690437	14011841	245	45	1518632	1.2838	0.099608
TRIO	5	14143817	14510313	212	30	1530261	3.823	6.5915e-05
OTULINL	5	14581891	14616289	11	4	1561157	4.1808	1.4523e-05
OTULIN	5	14664783	14699842	14	4	1540324	3.2949	0.00049231
ANKH	5	14704909	14871887	100	20	1531159	7.7886	3.3867e-15
FBXL7	5	15500305	15939905	230	31	1536077	1.6859	0.045909
MARCHF11	5	16067474	16179897	38	10	1559308	0.20767	0.41774
ZNF622	5	16451628	16465894	5	2	1585461	2.1264	0.016734
RETREG1	5	16472922	16617167	112	23	1522776	2.5249	0.0057869
MYO10	5	16662016	16936385	176	55	1500713	4.8888	5.073e-07
BASP1	5	17216932	17276954	36	10	1499314	0.31531	0.37626
CDH18	5	19473140	20575972	443	61	1526356	2.2833	0.011206
CDH12	5	21750870	22853731	508	59	1532464	-0.69027	0.75499
PRDM9	5	23507724	23528706	6	3	1437127	0.99569	0.1597
CDH10	5	24487209	24645085	86	16	1537398	1.7904	0.036692
CDH9	5	26880709	27038689	65	12	1481486	3.1243	0.00089103
CDH6	5	31193762	31329253	88	18	1368170	5.1463	1.3282e-07
DROSHA	5	31400601	31532282	87	16	1528310	6.1094	5e-10
C5orf22	5	31532373	31555165	18	6	1526057	8.4059	2.1223e-17
PDZD2	5	31639345	32111038	375	112	1463659	8.037	4.6026e-16
GOLPH3	5	32124817	32174425	14	4	1476551	6.8785	3.0242e-12
MTMR12	5	32227111	32313114	27	2	1556737	4.5022	3.3628e-06
ZFR	5	32354456	32444844	40	7	1572552	7.6679	8.7438e-15
SUB1	5	32585605	32604185	10	3	1576238	6.3085	1.4085e-10
NPR3	5	32710284	32791830	57	9	1559809	7.5409	2.3334e-14
TARS1	5	33440802	33468196	17	3	1597290	7.8739	1.7188e-15
ADAMTS12	5	33523640	33892319	230	52	1485296	4.655	1.62e-06
SLC45A2	5	33944721	33984780	29	6	1488140	2.855	0.002152
AMACR	5	33987091	34008220	27	7	1513363	2.1589	0.015429
C1QTNF3	5	34017963	34043371	21	3	1589176	4.457	4.1558e-06
RAI14	5	34656342	34832717	90	29	1514756	4.7973	8.0429e-07
TTC23L	5	34839269	34899567	36	10	1550392	5.0835	1.853e-07
RAD1	5	34905365	34915780	8	3	1591581	4.8604	5.8583e-07
BRIX1	5	34915820	34925787	8	3	1514483	4.1635	1.5672e-05
DNAJC21	5	34929698	34959069	16	5	1595402	4.0406	2.6658e-05
AGXT2	5	34998206	35048293	49	10	1539126	1.0251	0.15267
PRLR	5	35048861	35230823	82	20	1508382	6.1262	4.501e-10
SPEF2	5	35617900	35814713	101	16	1577123	6.0956	5.4497e-10
IL7R	5	35856977	35879705	29	6	1509560	6.7263	8.7017e-12
CAPSL	5	35904397	35938881	27	6	1513579	5.126	1.48e-07
UGT3A1	5	35953191	36066639	57	14	1551080	7.4339	5.2738e-14
UGT3A2	5	36035119	36067023	18	6	1561683	7.908	1.3075e-15
LMBRD2	5	36103414	36152015	9	3	1444802	4.8531	6.0781e-07
SKP2	5	36152091	36184143	26	6	1542762	6.1094	5e-10
NADK2	5	36192694	36242258	19	4	1520197	5.5766	1.2266e-08
RANBP3L	5	36247950	36302011	25	7	1454977	4.0445	2.6214e-05
SLC1A3	5	36606457	36688436	65	22	1438923	6.3667	9.6572e-11
NIPBL	5	36876861	37065926	50	9	1515910	6.1094	5e-10
CPLANE1	5	37079423	37249530	38	6	1395684	8.1533	1.7702e-16
NUP155	5	37291735	37371228	18	5	1532226	7.8675	1.8096e-15
WDR70	5	37379391	37752774	77	10	1540267	6.1094	5e-10
GDNF	5	37812779	37839782	23	6	1591602	7.8561	1.9817e-15
GDNF-AS1	5	37840540	37875901	18	5	1596604	4.1182	1.9093e-05
EGFLAM	5	38258511	38465582	136	31	1465733	1.3102	0.095056
LIFR	5	38475065	38595507	36	6	1559654	3.518	0.00021741
OSMR	5	38845960	38935743	67	16	1550331	5.5496	1.432e-08
RICTOR	5	38938022	39074505	28	5	1559091	2.6034	0.0046152
FYB1	5	39105354	39270759	106	20	1499712	6.7459	7.6037e-12
C9	5	39284377	39364655	43	12	1465941	6.1094	5e-10
DAB2	5	39371776	39425335	37	9	1572462	6.1094	5e-10
PTGER4	5	40680032	40696962	5	2	1590972	0.90777	0.182
TTC33	5	40711678	40756072	16	4	1593827	0.079276	0.46841
PRKAA1	5	40759481	40798297	15	4	1533570	-2.1181	0.98292
RPL37	5	40831430	40835387	2	1	1597365	-0.49485	0.68965
CARD6	5	40841410	40855456	7	3	1402820	2.0351	0.02092
C7	5	40909599	40983041	62	12	1556816	0.74137	0.22924
MROH2B	5	40998122	41071444	61	12	1586691	0.95341	0.17019
C6	5	41142248	41261588	62	12	1478496	-0.37516	0.64623
PLCXD3	5	41307048	41510730	70	14	1570598	5.8671	2.2179e-09
OXCT1	5	41730167	41870791	42	5	1490054	6.8774	3.0476e-12
