GENEID	P
RP11-321E2.4	0.021760189
RP11-382J24.2	0.021760189
CTD-2561F5.1	0.021760189
COL4A5	0.021772681
RP11-51B23.3	0.021772681
FBXO31	0.021774069
ZNF551	0.021774069
CTD-2020K17.3	0.021774069
LAPTM4A	0.021782603
NCAPG2	0.021786887
C1QL3	0.021786887
ZNF732	0.021786887
MTND5P18	0.021786887
RP11-368P15.1	0.021786887
CTD-2228K2.7	0.021804829
PTGIS	0.021825671
ALKBH1	0.021840247
RP11-718B12.1	0.021840247
DNAH17-AS1	0.021840247
RP1-111D6.2	0.021847154
LRRC37BP1	0.021891261
PAPSS1	0.021910286
CRB3	0.021912816
AC004656.1	0.021916504
RP1-153P14.8	0.0219836
PRKD3	0.022012976
HIST1H1D	0.022017015
CCND1	0.02203507
RP11-123J14.4	0.022039008
SLC35E3	0.022042513
RP11-274B21.9	0.022042513
AC079807.4	0.022047643
SHISA2	0.022056247
CNN2	0.022061539
ORC1	0.022061539
CDC42EP2	0.022061539
RP4-756H11.3	0.022061539
APOBEC3G	0.022061539
RP11-540B6.3	0.022061539
ST8SIA5	0.022079514
SLC25A23	0.022087279
PARD6A	0.022093831
RTCA	0.022093831
ARIH2OS	0.022110535
RP13-15E13.1	0.022133144
CTD-2265D6.2	0.022136045
NFAM1	0.022150155
RP11-468O2.1	0.022155213
SNORA57	0.022170754
RP11-179G5.1	0.022180697
RP11-366M4.8	0.022215785
GIMAP7	0.022220458
CSTF1	0.02222658
AP000695.6	0.022240247
BTN3A2	0.022253018
C2orf66	0.022274508
RP11-526D8.7	0.022274508
RP4-614O4.12	0.022288711
RP11-499F3.1	0.022292376
HPCA	0.022316877
SNX8	0.022327673
RAP1GDS1	0.022327673
AC083867.4	0.022327673
EFTUD1	0.022370336
TRIM24	0.022371263
PDE10A	0.022374178
RP11-1024P17.1	0.022374178
TMPRSS4	0.022410391000000002
ATP5LP6	0.022410391000000002
AZIN1	0.022423533
EMR2	0.022425397
NUTM2A-AS1	0.022425397
CHRND	0.022436256
RP11-1C1.4	0.022436256
RNF165	0.022461784
OSR2	0.022461784
NDN	0.022461784
RP11-800A18.4	0.022461784
SETD6	0.022470753
MME	0.022471331
KDELC2	0.022481292
ATP5D	0.022501462
CIDEA	0.022506194
DOCK4-AS1	0.022519754
AC079354.3	0.022523756
GCM2	0.022531261
RP11-180K7.1	0.022542311
NONOP2	0.022548112
TAB3	0.02255846
MIR4753	0.022573025
CTD-2545M3.8	0.022581664
GUSB	0.022616788
CECR2	0.022621409
TXLNB	0.022621409
CTD-3179P9.1	0.022621409
RP11-561N12.7	0.022621409
TMC7	0.022638285
RP4-734G22.3	0.022644731
SPPL3	0.022649589
RP11-391L3.5	0.022651117
PDE6B	0.022677893
FABP7	0.022677893
MTA1	0.022677893
C15orf61	0.022677893
SNORD116-14	0.022677893
RC3H1-IT1	0.022677893
AC025811.1	0.022677893
RP11-447H19.1	0.022697861
C1orf61	0.022701379
PRSS23	0.022701379
RP11-91J19.4	0.022709669
YKT6	0.022716456
C21orf37	0.022716456
RP11-256L6.2	0.022716456
WNK1	0.022787287
PLEKHG1	0.022820844
CSNK1G2	0.022827669
CNDP1	0.022838154
ALDH7A1P1	0.022838154
GLRX	0.02284133
DECR2	0.022845298
ELOVL7	0.022849715
DAPK2	0.022861108
NUBP1	0.022861108
MAD1L1	0.022878842
ZNF705G	0.022878842
RN7SKP105	0.02293177
RNU6-926P	0.022949627
LINC00456	0.022957045
TBC1D14	0.022966201
GALNT11	0.022966201
PHF14	0.023007479
PABPC1P7	0.023009784
SMTNL1	0.02302485
FKBP1C	0.023038644
AC087393.1	0.023040058
MT-ND5	0.023047551
TRIML2	0.023055499
SNORA11	0.023074131
SPAG1	0.023081862
AP000962.2	0.023081862
TFAP2D	0.023118468
RP11-548L20.1	0.023131381
FLJ20306	0.023166629
SLC50A1	0.023172409
AQP12B	0.023182886
HIST1H1C	0.023182886
RP11-236J17.5	0.023203054
CTD-2187J20.1	0.023215289
SLC35B2	0.023222697
HEPACAM2	0.023222697
RP11-798K3.2	0.02322691
OR52K2	0.023244344
ZNF521	0.023272369
GRHL3	0.023302111
OR2S2	0.023310363
PDZD9	0.023310363
MAP6D1	0.023310363
RP11-532F6.2	0.023310363
TMEM173	0.023357888
CTD-2506J14.1	0.023357888
RP11-5N11.6	0.02340438
MRO	0.023406701
GCSAML	0.023406701
RN7SL674P	0.023415048
TAAR3	0.0234308
RP11-696L21.2	0.0234308
LHFPL3-AS1	0.023448385
LGALS8	0.023474669
SNORD116-11	0.023474811
CD300LG	0.023477372
RP11-34H11.5	0.023483931
ZNF721	0.023492106
YRDC	0.023524807
ZNF596	0.023530022
TATDN2P2	0.02354631
RNA5SP203	0.023568696
HMGN3-AS1	0.023584783
JUNB	0.023586496
CYGB	0.023642066
NR5A2	0.023661483
FAM117A	0.023661483
IQCJ	0.023661483
RP11-607P23.1	0.023661483
RNA5SP187	0.023705711
RP11-795J1.2	0.02371228
RPL7AP11	0.023729746
RP11-363E6.3	0.023737563
POLL	0.02378079
CROCCP3	0.023781445
SLC1A6	0.023793333
SCAF1	0.023802558
AC109642.1	0.023803049
SULT2B1	0.023803334
RP11-287F9.2	0.023803334
PPEF2	0.023806208
SPATA31B1	0.023806208
RP11-249C24.10	0.023806208
RP11-588L15.1	0.023841542
NOX1	0.023847069
ACKR3	0.023847069
PDCD11	0.023847069
SEZ6L2	0.023847069
RN7SL20P	0.023847069
LINGO1	0.023870063
DCLK1	0.023876394
U91328.20	0.023876394
RP11-766F14.2	0.023881756
ZSWIM1	0.023885615
CASC2	0.023885615
RP11-462G12.2	0.023932118
CTD-2540B15.9	0.023998021
CENPN	0.024018178
MARK4	0.024087482
NTMT1	0.024090003
RNU6-920P	0.02410754
C22orf15	0.024131604
DGCR11	0.024131604
RP11-564D11.3	0.024154145
RP5-951N9.2	0.024163691
ARF5	0.024189736
COTL1	0.024189736
SMG9	0.024189736
RP4-593M8.1	0.024189736
RP11-236J17.6	0.024189736
FAR1	0.024207536
MTFR1L	0.024216415
AP001885.1	0.024229443
RNU6-426P	0.024242362
RPL7AP72	0.024257136
FAR1-IT1	0.024257136
KIF1C	0.024259052
RP11-403I13.5	0.024259052
PHOSPHO1	0.024272129
PYROXD1	0.024286016
RP11-100N20.1	0.024332103
TUBA8	0.024348676
PYY2	0.024389026
SLC25A34	0.024390806
RP5-1073F15.1	0.024390806
ARHGEF7-IT1	0.0243962
DPYSL4	0.024410381
RP11-111E14.1	0.0244105
KCTD5	0.024412351
WIPF1	0.024434933
CLEC3B	0.024439795
AC096772.6	0.024474842
RP11-177F15.1	0.024484528
UBA6	0.024485103
CEP170	0.024485364
CMTM4	0.024485364
RNF222	0.024485364
RP11-332J15.4	0.024506907
PHF13	0.024521687
CTC-479C5.10	0.024521687
HMGB3	0.02456002
AC026806.2	0.024573736
CTD-2210P15.2	0.024580076
PMS2CL	0.024584403
NENF	0.024584817
CTC-301O7.4	0.024584817
FRMD6-AS2	0.024584817
SLC15A2	0.024595447
UBE2MP1	0.024595447
AF064858.10	0.024598418
TTF1	0.02461131
APOBR	0.0246544
RP11-290F24.6	0.024655501
TXNRD1	0.024710184
ITPRIPL1	0.024710184
RP11-439E19.9	0.024714791
LINC00907	0.024714791
CTC-450M9.1	0.024714791
BNIP3	0.024723571
RP11-452G18.2	0.024723571
MFN1	0.024730267
LYRM7	0.024730267
HSPD1P11	0.024730267
RP11-317N8.4	0.024730267
STAMBP	0.024738072
GCC2	0.024738072
COQ7	0.024738511
BAG1	0.024741231
RNU7-156P	0.024748831
RIOK1	0.024752511
BSG	0.024763483
AC009120.6	0.024763483
ACIN1	0.024797655
NHLH2	0.024848439
RN7SKP140	0.024882468
RP3-402G11.25	0.024882468
FAM47E-STBD1	0.024972159
AC084010.1	0.024976761
CTC-444N24.11	0.02497709
CTD-2256P15.5	0.02497709
RIPPLY1	0.025049924
INCA1	0.025065252
RPL11P5	0.025065252
TOP2B	0.025082217
ZNF81	0.025084321
DOK6	0.025096692
VWA1	0.025133456
RNU7-136P	0.025150041
KIAA1468	0.02519566
EXD1	0.02519566
AC141930.2	0.02519566
GAPDHP66	0.02519566
RP11-446P9.1	0.02519566
UBE2L4	0.02519566
RN7SL200P	0.025198785
RANGRF	0.025202046
TOP3B	0.025230042
RPL14P1	0.025230042
QRFPR	0.025230042
RNU6-606P	0.025230042
RP11-396K3.1	0.025230042
HNRNPH2	0.025250454
MOB3C	0.025266367
COX5BP3	0.025279145
RP11-379K22.3	0.025279145
H2AFX	0.025299648
AP001055.6	0.025305877
RP11-105C20.2	0.025328263
INSM1	0.025330001
ZNF674	0.025330842
FAM43A	0.025331235
DNAJC8	0.025353905
CD82	0.025373101
IL10RB-AS1	0.025373101
RBM5	0.025413052
ZNF546	0.025413052
AC090616.2	0.025413052
THOC7-AS1	0.025413052
KLF7-IT1	0.025429621
ADNP	0.025440648
CHRNA6	0.025445938
RP11-282I1.1	0.025445938
RAMP2-AS1	0.025451253
TCEB1P33	0.025453477
ANXA3	0.025517171
COL7A1	0.025523301
LMNA	0.025523301
NEAT1	0.025526719
AC007278.3	0.025572859
RP11-218F4.1	0.025579147
ATP8B5P	0.02561879
SMIM22	0.02561879
ZNRF3-AS1	0.025626849
PLEKHG5	0.025673302
AC000078.5	0.025673302
CBWD3	0.025683648
CYP2S1	0.025696335
FZD10-AS1	0.025744153
FCF1P10	0.025750117
TNP1	0.025752321
GAS2	0.025752321
CTB-111F10.1	0.025760991
RP4-654C18.1	0.025760991
CTD-2288O8.1	0.025760991
RP11-157G21.2	0.025760991
ABI1	0.025816892
EHBP1L1	0.025816892
FANCG	0.025816892
CTD-3116E22.7	0.025816892
SLC16A5	0.025823817
MUCL1	0.025828956
MIR101-1	0.025828956
SYNJ2BP	0.025828956
TMEM44	0.025852214
MKI67IP	0.025852214
GPNMB	0.025853186
HINT3	0.025902745
SLC4A7	0.025904985
CINP	0.025904985
ASIC3	0.025904985
RPL23P2	0.025911005
RN7SKP57	0.025911005
CTD-2147F2.1	0.025915746
ANXA2	0.02591974
RPL21P3	0.025953063
ENTPD8	0.025964738
CTB-189B5.3	0.025985246
LINC00486	0.025990497
AC013275.2	0.025990497
CTC-339F2.2	0.025990497
CTA-384D8.36	0.025990497
MAP3K19	0.026009338
AC005041.17	0.026009338
CARF	0.026029844
RP11-61D3.1	0.026051674
MYLK4	0.026069338
GEMIN4	0.026069338
MCHR2	0.026099664
CTC-457E21.1	0.026143343
MTND1P21	0.026147121
DTD2	0.026148499
MT-CO1	0.026164594
OR5AK4P	0.026170976
RN7SL695P	0.026188639
RELT	0.026229149
ZCCHC2	0.026271742
RP11-432I5.2	0.026271897
RP11-315D13.1	0.026274767
CRYGN	0.026322338
PADI1	0.026327954
C21orf67	0.026327954
GUSBP10	0.026327954
RP11-212D3.2	0.026327954
IP6K1	0.026331841
PSMG3	0.026443873
RNU6-1321P	0.026459799
RAET1E	0.026481982
SNORD114-24	0.026530185
RP11-108M9.6	0.026530185
EIF4BP3	0.026534625
ENOPH1	0.026537818
AC010423.1	0.026537818
RP11-511B23.3	0.026537818
RP1-34H18.1	0.026570374
MSN	0.026598053
HLX	0.026606776
LCN10	0.026606776
RP11-13A1.3	0.026606776
RP11-113C12.4	0.026694761
RP1-212P9.3	0.026707283
ZNF677	0.026710543
RP11-399H11.2	0.026755923
RP11-133N21.10	0.026755923
PRDM5	0.026812649
ZNF696	0.026825822
PLAA	0.026924476
RP11-385D13.3	0.026924476
STAP1	0.026931864
AC006926.1	0.026938326
ISL2	0.026966317
RP11-416N4.4	0.026966317
ACTR2	0.026983625
TTC30A	0.026983625
RP11-64B16.4	0.026983625
NFYC	0.026992939
LRRC4B	0.026992939
RP11-429A20.4	0.027023591
EXOC1	0.027026488
PDCL3	0.027026488
RHPN2	0.027026488
OSMR	0.027026488
RAX2	0.027026488
BCAM	0.027026488
MIR1251	0.027026488
AC017076.5	0.027026488
RP11-33G16.1	0.027026488
BDNF-AS	0.027026488
RP11-58K22.4	0.027026488
SNORD53_SNORD92	0.027026488
RP5-892K4.1	0.027026488
GML	0.027045661
RPS15AP1	0.027045661
GLT8D2	0.027054685
AP000758.1	0.027064159
ELL2	0.027066531
TRIM33	0.027066531
RN7SL438P	0.027066531
RP11-791G15.2	0.027066531
RGS10	0.027087098
HNRNPRP1	0.027088053
ENTPD5	0.027095023
CTD-2135D7.5	0.027122133
NAT8L	0.027135648
AC022498.1	0.027147361
KIAA1841	0.02716561
IGFL4	0.02716561
WDR6	0.027191693
RP11-153K16.2	0.027205792
MVB12B	0.027210949
RHOH	0.027218647
PTPRM	0.027221044
TMC3	0.027221044
CCDC122	0.027258453
AMY2A	0.027263616
KAT8	0.027277974
TTC28	0.027302691
GNG13	0.027302691
RP11-417L19.2	0.027302691
RALY	0.027324784
SIRT2	0.027386674
AC092162.2	0.027386674
ARHGEF17	0.027397332
TRBV29OR9-2	0.027419474
RP11-123O10.4	0.027420659
AC005357.1	0.027420659
RP11-359H18.2	0.027420659
RP11-676J12.7	0.027428152
CDK13	0.027441932
GNA14	0.027485011
MT-RNR1	0.027485011
LEF1-AS1	0.027485011
CTD-2560E9.5	0.027491137
HTR4-IT1	0.027494842
FAM102B	0.027517783
IL1RAP	0.027517783
AC010091.1	0.027517783
RP5-1112D6.7	0.027517783
SNORD115-24	0.027526366
CTC-264O10.2	0.027531529
RP11-138H8.7	0.027535529
RNF157-AS1	0.027581196
METTL14	0.027609143
NRXN2	0.027622443
ZNF438	0.027622443
RP11-486A14.2	0.027634089
RDH11	0.027696285
TTC39C	0.027698169
RP6-24A23.7	0.027698169
ATG16L1	0.02774396
F12	0.02774396
AC005682.8	0.02774396
MIR194-2	0.027769233
RNU6-915P	0.027784409
RP5-1050D4.5	0.027784409
RER1	0.027791473
ENTPD4	0.027794279
LGI1	0.027810253
RP11-757A13.1	0.027815289
ACLY	0.027835556
RPL7	0.027835556
RN7SKP80	0.027865595
RP11-366M4.12	0.027886793
HRK	0.027933092
CDC42EP4	0.027940351
PLXNB3	0.027953216
RPL5	0.027953801
SNORA46	0.027959431
ARHGAP27	0.027990628
C19orf48	0.028028749
RP11-582E3.2	0.02803347
AGAP11	0.028042534
AC067945.4	0.028048893
SEMA3D	0.028073592
SLC20A2	0.028083616
CTD-3088G3.6	0.028083616
GJC3	0.028094604
RP11-348P10.2	0.028099759
MLLT10	0.028102348
DHRS4L2	0.02811822
RP11-716H6.2	0.028161332
WNT5A	0.028194864
CNGB3	0.028194864
PAPD4	0.028227296
PALD1	0.028246866
DNAJC12	0.028246866
TPX2	0.028252822
RHOC	0.028257861
SOX2-OT	0.028261248
RP11-21A7A.3	0.028261248
ZDHHC2	0.028303049
NTN1	0.028333458
SLC16A3	0.028335413
KIAA1715	0.028342098
QPRT	0.028342655
GCLC	0.028358555
ENTPD1	0.028358555
RBMXL2	0.028358555
RP11-498P14.3	0.028358555
TRGV7	0.028358555
CTD-2647L4.4	0.028358555
RP11-659F24.1	0.028358555
RP11-121A8.1	0.028358555
ZNF286A	0.028401668
STIP1	0.028405819
APOL6	0.028424842
TPM4	0.028436005
SYT3	0.028436005
ALG3P1	0.028458473
SST	0.028468568
NEK8	0.028469801
CIR1P2	0.028477598
FNBP1P1	0.028477598
CDC42	0.028494074
RP11-5N11.3	0.028497791
EPX	0.028506155
AC024937.6	0.028517167
RP11-371F15.3	0.028517167
NPM1P18	0.028528041
RP11-619A14.3	0.028528041
KCNN1	0.028538757
CTD-2085J24.4	0.028595637
PSMB10	0.028614778
AC093375.1	0.028615358
RP4-569M23.2	0.028615358
RP11-300J18.2	0.028615358
TBC1D12	0.028633198
RPL15P21	0.028633198
TRIM7	0.028647466
NCLN	0.028690441
SIGLEC11	0.028692685
MYH8	0.028718284
LRFN1	0.028723494
ID4	0.028723494
CCDC41	0.028723494
RNA5SP469	0.028729444
Z83844.1	0.028729444
CBR3	0.028736437
ZNF665	0.028736437
HIST1H3B	0.028745366
CDK8	0.028750987
TSC22D3	0.028766218
AC108059.4	0.028821353
RP11-504P24.2	0.028827799
RP11-696D21.2	0.028861926
NXF3	0.028864246
SNORA63	0.028878312
MRPL40P1	0.028878312
SAFB	0.028886432
PTTG1IP	0.028889411
SGCA	0.028905178
CTC-428G20.2	0.028905178
SLC4A8	0.028906397
FERD3L	0.028909662
FGF11	0.028910272
GBP5	0.02891038
CYBRD1	0.028949777
PRELID2	0.028949777
RP5-1096D14.3	0.028949777
VN1R90P	0.028949777
SNORD116-3	0.028965229
NLN	0.028966251
GPR37	0.028966251
PENK	0.028966251
RP11-297K8.2	0.028966251
PROCA1	0.028967794
SEC16B	0.028972391
CTD-3224K15.2	0.028972391
RNA5SP120	0.029002136
TMEM14E	0.029006388
MKRN5P	0.029006388
RASSF3	0.029016326
C11orf57	0.029027284
C2orf83	0.02903547
SLC35A2	0.02903547
BTBD9	0.029054888
RP11-128D14.1	0.029087978
KIF3A	0.02911838
IVD	0.029154054
SLC25A14P1	0.029154054
RP11-489D6.2	0.029154054
RP4-740C4.6	0.029154054
AP000908.1	0.029171994
RBP1	0.02918047
RP11-1277A3.1	0.029183543
DLGAP1-AS4	0.029214061
LINC00032	0.029221842
VENTXP6	0.029234743
TOX	0.029246419
RP11-713H12.1	0.029286273
RP11-76E17.3	0.029317447
MIR24-2	0.029317447
RAB5A	0.029331086
C1orf111	0.029331086
CCDC137	0.029331086
EIF4E1B	0.029337818
ZW10	0.029342862
CMBL	0.029351599
TSGA10	0.029387916
AC007106.1	0.02940768
RP11-135J2.3	0.029416078
NPM1P30	0.029425144
MERTK	0.029468814
AC062029.1	0.029468838
MAP3K3	0.029481367
RP11-93O14.1	0.029493811
CTC-830E23.1	0.029506076
NEK4	0.029530789000000002
KIAA1109	0.029530789000000002
AKAP6	0.029530789000000002
DNAAF1	0.029530789000000002
KIAA1009	0.029569584
RPS6KA5	0.029570366
SNX30	0.029570366
SEC14L2	0.029581111
GAB2	0.029590577
MRPL45P2	0.029590577
FTH1P16	0.029633786
MITF	0.02963474
HSPA8P5	0.029655506
NUBP2	0.029682054
CTD-2215L10.1	0.029732633
NRBF2P4	0.029741736
PIGFP2	0.029776733
CYP3A7	0.029813571
RP4-631H13.5	0.029813571
SETP10	0.029840218
RPS10-NUDT3	0.029862395
AC144652.1	0.029862395
POLR3GL	0.029904942
MED13L	0.029904942
FGFR4	0.029922352
LOXHD1	0.02993961
VRK1	0.029941198
RP11-151H2.1	0.029941198
CTD-2235C13.3	0.029941198
CYP2T2P	0.029953843
RP11-173A16.1	0.029953843
ZMYND10	0.029971349
CR848007.5	0.029971349
AC005105.2	0.029974114
CCDC158	0.030020705
CYP4F35P	0.030024128
HS3ST3B1	0.030029147
RP11-219B17.2	0.030037014
CLPTM1L	0.030095647
RP11-54C4.2	0.030095647
SFRP5	0.030099152
HRASLS5	0.030099152
WDR3	0.030106436
TOR1B	0.030117093
ASPRV1	0.030149672
RAB6A	0.030154511
MAP3K14	0.0301849
TMPRSS11CP	0.030187763
RSPO2	0.030215668
SNORA76	0.030248063
MIR326	0.030249724
SAMD1	0.030257776
CES3	0.030257776
AC022154.7	0.030257776
AF186192.5	0.030262661
RPL21P8	0.030351716
MARS	0.030353569
ATP2B2	0.030353809
WNT11	0.030388762
RP11-164P12.4	0.03039132
AC096677.1	0.030393625
GPR115	0.030476906
AC074391.1	0.030476906
RP11-168L7.1	0.03048574
FA2H	0.030486228
SLC22A7	0.030508121
SNX25P1	0.030508121
AP000265.1	0.030508121
LIN54	0.030511315
SWSAP1	0.03051335
CCDC86	0.030519506
RN7SL852P	0.030527421
AC005288.1	0.03053126
RP11-110G21.1	0.030537172
RP11-162J8.2	0.03055364
URGCP	0.030555324
CREB5	0.030566397
TLDC1	0.030577123
MUC5AC	0.030577123
NPM1P41	0.030577123
TBCB	0.030584905
ZSCAN12	0.030600009
AC034228.2	0.030600009
AC003986.5	0.030615083
RP11-52L11.7	0.030615083
SLC6A16	0.030642048
PSAPL1	0.030650584
LAMTOR5-AS1	0.030697591
RAB35	0.030700604
CD28	0.030715209
RP11-932A10.1	0.030758042
METRN	0.030773749
KAT2A	0.030773749
CTSB	0.030777305
CLHC1	0.030794839
FAM86MP	0.030797146
IFT140	0.030812973
KIAA0020	0.030814846
IGSF21	0.030830479
OLFM4	0.030868663
MIR219-2	0.030868663
UBAP1L	0.030868663
MIR4451	0.030868663
ARHGAP1	0.030873751
RN7SL724P	0.030873751
GRM1	0.030886003
POGLUT1	0.030886003
ZBTB21	0.030909523
SLIT1	0.030943099
PTCHD3P1	0.030943099
ADAMTS17	0.030944349
RPS20P15	0.030959602
RP3-432I18.1	0.03098374
CCR2	0.030989072
RNU6-414P	0.030989072
RP11-1127D7.1	0.030989072
RP11-193M21.1	0.030989072
RP11-57B24.1	0.030989072
RP11-326C3.12	0.030994355
SEPHS2	0.03100291
PHF1	0.031006687
CHRM2	0.031006687
RNU6-1159P	0.031006687
RP11-73K9.3	0.031006687
RP11-175D17.3	0.031011818
RP11-45M22.5	0.031011818
RP11-57C13.6	0.031011855
SLC38A8	0.031062635
MTND5P7	0.031078844
RP4-617C6.1	0.031106727
RP11-330C7.3	0.031121556
RP11-557H15.5	0.031143288
CCDC150	0.031145239
MIR874	0.03115688
AC114803.3	0.03115688
RP11-143M1.4	0.03115688
RN7SL328P	0.03115688
RPN2	0.031163728
RP11-317B7.3	0.031163728
PPIP5K1	0.031176017
CTD-2503O16.4	0.031176017
FBXO36	0.03117897
C1orf64	0.031240855
RP11-632B21.1	0.031240855
LSP1P3	0.031243126
BDKRB2	0.031318172
AC008147.2	0.031386084
CACNA1S	0.031425658
SLC38A2	0.031446936
MAPKBP1	0.031464619
ZRSR2	0.031464619
PISD	0.031465275
TMEM87A	0.031477884
LRRC34	0.031503464
DNAJC27-AS1	0.031503464
ENPP6	0.031542497
TRMT1	0.031552138
RUSC1-AS1	0.031553722
ATP9B	0.031573991
SOWAHD	0.031573991
SNX5P1	0.031573991
RP11-383H13.1	0.031580536
CTD-2619J13.14	0.031586248
STON2	0.031589108
TPTE2P3	0.031599903
CPT2	0.031606012
ACA64	0.031606012
SLC39A7	0.031665559
CALML6	0.031665559
FAM13A-AS1	0.031665559
KRT8P43	0.031705585
ENTHD2	0.031730015
TMEM116	0.031730015
RP1-125I3.4	0.031730015
GRTP1-AS1	0.031730015
CTD-2283N19.1	0.031730015
RP11-12D24.7	0.031743375
AC004817.1	0.031765868
FGFR3	0.031782039
RP13-492C18.2	0.031782039
AC004076.7	0.031783208
RP11-774D14.1	0.031796785
VHL	0.031820206
AC093802.1	0.031820206
GFPT2	0.031823835
ZNF543	0.031823835
RP3-439F8.1	0.031824858
RP11-977G19.11	0.031824858
NINJ1	0.031828521
RP11-613M10.9	0.03184764
CEACAM21	0.031850585
PLA2G12A	0.031850585
RP11-252M18.3	0.031850585
RP11-392O1.4	0.031850585
GADD45GIP1	0.031883722
AC016773.1	0.031883722
RP11-34P1.4	0.031883722
RP11-13N12.1	0.031926778
FRAS1	0.031933802
CTD-2554C21.1	0.031935011
GOLGA2	0.031939158
MIR4512	0.03194652
RANBP3L	0.031952432
RP11-3B12.5	0.031952739
RP11-294L13.1	0.031971238
ADARB2-AS1	0.031973773
RP11-39C10.1	0.031982005
AC118344.1	0.032033399
MEP1A	0.032035733
RP1-102H19.8	0.032040453000000003
AC007365.1	0.032059027
KDELR1	0.032087731
ZNF429	0.032087731
RP4-730D4.1	0.032087731
ZSWIM8	0.032103103
AKAP16BP	0.032103103
GCOM1	0.032109012
TCEAL6	0.032115649
YBX1P5	0.032115649
SLC22A18	0.03212941
RP11-402G3.4	0.03212941
CTA-280A3__B.2	0.03212941
RNA5SP39	0.032141247
CHP1	0.032175117
PAPOLG	0.032208369
RNU6-853P	0.032228599
GEMIN8P4	0.032228599
RP11-365O16.3	0.032228599
MIR3182	0.032228599
ACTN3	0.032272703
KLHL42	0.032273704
IMMP1L	0.032273704
CDC20B	0.032273704
RP11-7F17.5	0.032273704
CTC-422A18.1	0.032273704
AC144835.1	0.032342103
RP11-488L18.6	0.032357245
RP11-677M14.5	0.032361507
PDK2	0.032370174
ITFG1	0.032370174
RP11-820K3.3	0.032370174
TSN	0.032377266
CFLAR-AS1	0.032421125
RP11-397C18.2	0.032421125
ARHGEF1	0.032427103
AC017048.1	0.032427103
CTD-2313J17.5	0.032431365
C1RL-AS1	0.032437372
NAGK	0.032439778
ABCC6	0.032442119
CYTIP	0.032474197
NME4	0.032519229
PCBP2	0.032520959
GOLGA6L11P	0.032520959
RN7SL280P	0.032520959
ATXN7L2	0.032534477
AC147651.4	0.032534477
NUTM2A	0.032545241
RP11-686D22.8	0.032568662
TNPO1	0.032570221
GNPTG	0.032681774
CTB-49A3.4	0.032681774
AC068831.6	0.032698468
RP11-76G10.1	0.032709091
TMEM63C	0.032737563
RNA5SP268	0.032737563
RPS2P45	0.032743144
DDIT3	0.032756725
AD000684.2	0.032770386
TCEA1P2	0.032805121
RP11-574K11.5	0.03281078
MFSD1	0.032957761
RPL36AP43	0.032962994
CPNE3	0.033016041
ETV2	0.033016041
SYCE1L	0.033016041
CTD-2290C23.1	0.033016041
CTD-2370N5.3	0.033016041
LSM1	0.033019684
RAB41	0.033027603
TMEM245	0.033035068
GFRA2	0.033035068
TSPAN33	0.033049309
HMGB1P5	0.033092759
RP5-1125A11.1	0.033092759
RP11-348J24.1	0.033092759
RP11-96D1.7	0.033092759
HNRNPA1P11	0.033092759
RP11-13N13.6	0.033092759
PDHB	0.033098567
PTGER2	0.033104098
STAC3	0.033119485
RP11-807H7.2	0.033142817
CSGALNACT2	0.033156919
CYP46A1	0.033163691
HSPB1	0.033164387
RP11-519G16.2	0.033206066
CTD-3088G3.8	0.033247413
SH3BGRL	0.033257763
HOMER2	0.033260089
AC018799.1	0.033260089
ZNF468	0.033261173
AC106827.1	0.033271653
CLCN6	0.033272401
TRIP13	0.033272401
PLSCR1	0.033272401
PCDH9-AS1	0.033272401
RP5-1070G24.2	0.033272401
CTD-2560C21.1	0.033272401
RP5-855D21.3	0.033272401
LINC00524	0.033312847
RPUSD2	0.033341912
RP11-97O12.2	0.033341912
RPL5P17	0.033342775
AK1	0.033346582
RUVBL1	0.033346582
SNORA75	0.033346582
RP5-874C20.6	0.033346582
RGP1	0.033382323
LINC00882	0.033392393
HDAC9	0.033486517
ERMN	0.033486517
U91324.1	0.033526207
GABARAPL3	0.033526207
RP11-399O19.9	0.033526207
ANXA2P3	0.033526477
ILF3-AS1	0.033526477
XXbac-B444P24.10	0.033564823
ADSSL1	0.033569826
AC093788.1	0.033569826
CTC-229L21.1	0.033576117
YDJC	0.03359561
ATP2A3	0.033635259
CDC20	0.033635259
RP11-308B5.2	0.033635259
ISPD-AS1	0.033652432
TPSB2	0.033670629
CTD-2367A17.1	0.033670629
GS1-531I17.3	0.033716363
DLL1	0.033721542
SNRPB	0.033730973
GNGT2	0.033749922
MYL6P1	0.033749922
THBS2	0.033770876
AC012074.2	0.03377756
COL4A3	0.033841325
TMEM185B	0.033841325
EEF1A1P25	0.033841325
C9orf72	0.033848493
MKRN3	0.033848493
RP11-317F20.2	0.033851486
LINC00893	0.033869526
GYG2	0.033871175
TNPO3	0.033871175
CATSPERD	0.033871175
FAM106A	0.033871175
AF064860.7	0.033871175
TMEM150C	0.033871175
AL390879.1	0.033871175
DOK5	0.033914999
RPS4X	0.03392591
CKM	0.034038544
INPP1	0.034068697
FBRSL1	0.034081479
YY1P2	0.03408929
ZNF385A	0.034114736
ZNF318	0.034136234
NUP62CL	0.034183029
EFCAB2	0.034183328
AC010196.1	0.034183975
IRAK2	0.034188964
MYO1B	0.034193331
TMEM125	0.03420929
PYGM	0.034217252
PRPF31	0.034226198
IFNG-AS1	0.034274666
