HEIGHT(control)	P
NA	0.2657
SMAD1	0.42502
MMAA	5.01E-06
C4orf51	1.95E-07
ZNF827	5.00E-10
LSM6	0.82141
SLC10A7	6.96E-08
POU4F2	0.013119
TTC29	7.21E-05
EDNRA	0.33998
TMEM184C	0.2882
PRMT9	0.63377
ARHGAP10	2.05E-05
NR3C2	4.84E-05
IQCM	0.065398
DCLK2	4.51E-05
LRBA	4.58E-11
RPS3A	0.025982
SH3D19	8.51E-17
PRSS48	1.29E-12
FHIP1A	2.14E-17
GATB	1.38E-15
FBXW7	1.23E-13
TMEM154	0.038731
TIGD4	7.79E-06
ARFIP1	1.06E-07
FHDC1	4.89E-06
TRIM2	0.51711
MND1	0.0011361
TMEM131L	7.92E-13
TLR2	0.0057739
RNF175	0.022545
SFRP2	0.012847
DCHS2	1.18E-05
PLRG1	4.94E-05
FGB	0.023822
FGA	2.59E-08
FGG	2.05E-05
LRAT	0.5096
RBM46	0.048028
NPY2R	0.042583
MAP9	0.24612
GUCY1A1	0.0017734
GUCY1B1	0.13469
ASIC5	1.32E-07
TDO2	5.28E-08
CTSO	0.031095
PDGFC	2.20E-11
GLRB	0.024373
GRIA2	0.11756
GASK1B	7.94E-10
TMEM144	0.021969
RXFP1	0.002511
C4orf46	0.0016631
ETFDH	1.11E-09
PPID	3.74E-06
FNIP2	1.29E-06
C4orf45	6.30E-06
RAPGEF2	8.86E-14
FSTL5	0.002068
NAF1	0.46971
NPY1R	0.0095755
NPY5R	0.0048824
TKTL2	0.20995
TMA16	0.0011829
MARCHF1	7.64E-05
ANP32C	0.43043
APELA	0.14927
TRIM61	3.07E-06
FAM218A	7.21E-06
TRIM60	0.0040336
TMEM192	0.027094
KLHL2	0.0075909
MSMO1	0.00019026
CPE	5.19E-14
TLL1	3.02E-07
SPOCK3	0.00057683
ANXA10	1.63E-05
DDX60	0.13701
DDX60L	0.0066095
PALLD	0.0001413
CBR4	5.65E-08
SH3RF1	0.00011182
NEK1	3.72E-07
CLCN3	3.40E-09
HPF1	0.035679
MFAP3L	0.12825
AADAT	0.00025995
GALNTL6	0.012947
GALNT7	0.048117
HMGB2	0.9453
SAP30	0.1775
SCRG1	0.75006
HAND2	0.22968
FBXO8	0.0001533
CEP44	0.0026185
HPGD	0.53103
GLRA3	1.24E-06
ADAM29	0.0047867
GPM6A	0.0093706
WDR17	0.045655
SPATA4	0.13786
ASB5	0.0051132
SPCS3	0.04592
VEGFC	0.5461
NEIL3	0.47788
AGA	0.60565
AGA-DT	0.41359
TENM3	4.02E-08
DCTD	0.021328
WWC2	7.25E-16
CLDN24	1.34E-13
CDKN2AIP	0.091833
ING2	0.17523
RWDD4	0.22601
TRAPPC11	0.010799
STOX2	0.08054
ENPP6	0.00082442
IRF2	0.0066229
CASP3	0.013428
PRIMPOL	0.0043923
CENPU	0.00090195
ACSL1	8.36E-07
HELT	0.86724
SLC25A4	0.0086681
CFAP97	0.00034391
SNX25	0.004117
LRP2BP	0.25816
ANKRD37	0.23721
UFSP2	0.046958
C4orf47	0.031879
CCDC110	0.069122
PDLIM3	0.10806
SORBS2	4.76E-15
TLR3	0.20099
FAM149A	0.22143
CYP4V2	0.40765
KLKB1	0.87505
F11	0.25433
MTNR1A	0.22372
FAT1	0.0076532
ZFP42	0.03539
TRIML2	0.93143
TRIML1	0.31221
FRG1	0.47366
PLEKHG4B	2.45E-15
LRRC14B	5.00E-10
CCDC127	1.01E-09
SDHA	1.45E-13
PDCD6	5.79E-11
AHRR	4.72E-16
EXOC3	0.013308
SLC9A3	5.49E-05
CEP72	0.0025407
TPPP	0.03696
ZDHHC11B	0.1509
ZDHHC11	0.021892
BRD9	7.34E-05
TRIP13	0.00057102
NKD2	0.019455
SLC12A7	0.032335
SLC6A19	0.036675
SLC6A18	0.057586
TERT	0.048737
CLPTM1L	0.15915
SLC6A3	3.26E-05
LPCAT1	4.45E-06
MRPL36	0.023411
NDUFS6	0.0021886
IRX4	0.78726
IRX2	0.18366
IRX1	0.031881
ADAMTS16	0.14934
ICE1	0.00061717
MED10	0.67433
UBE2QL1	0.68448
NSUN2	5.75E-08
SRD5A1	0.01162
TENT4A	7.97E-17
ADCY2	3.14E-10
CFAP90	0.023056
MTRR	9.05E-07
FASTKD3	5.28E-07
SEMA5A	0.0051292
TAS2R1	0.29834
ATPSCKMT	0.00062446
CCT5	0.0038142
CMBL	0.18953
MARCHF6	0.0030039
ROPN1L	0.00078617
ANKRD33B	0.0072686
DAP	6.14E-05
CTNND2	7.67E-06
DNAH5	0.099608
TRIO	6.59E-05
OTULINL	1.45E-05
OTULIN	0.00049231
ANKH	3.39E-15
FBXL7	0.045909
MARCHF11	0.41774
ZNF622	0.016734
RETREG1	0.0057869
MYO10	5.07E-07
BASP1	0.37626
CDH18	0.011206
CDH12	0.75499
PRDM9	0.1597
CDH10	0.036692
CDH9	0.00089103
CDH6	1.33E-07
DROSHA	5.00E-10
C5orf22	2.12E-17
PDZD2	4.60E-16
GOLPH3	3.02E-12
MTMR12	3.36E-06
ZFR	8.74E-15
SUB1	1.41E-10
NPR3	2.33E-14
TARS1	1.72E-15
ADAMTS12	1.62E-06
SLC45A2	0.002152
AMACR	0.015429
C1QTNF3	4.16E-06
RAI14	8.04E-07
TTC23L	1.85E-07
RAD1	5.86E-07
BRIX1	1.57E-05
DNAJC21	2.67E-05
AGXT2	0.15267
PRLR	4.50E-10
SPEF2	5.45E-10
IL7R	8.70E-12
CAPSL	1.48E-07
UGT3A1	5.27E-14
UGT3A2	1.31E-15
LMBRD2	6.08E-07
SKP2	5.00E-10
NADK2	1.23E-08
RANBP3L	2.62E-05
SLC1A3	9.66E-11
NIPBL	5.00E-10
CPLANE1	1.77E-16
NUP155	1.81E-15
WDR70	5.00E-10
GDNF	1.98E-15
GDNF-AS1	1.91E-05
EGFLAM	0.095056
LIFR	0.00021741
OSMR	1.43E-08
RICTOR	0.0046152
FYB1	7.60E-12
C9	5.00E-10
DAB2	5.00E-10
PTGER4	0.182
TTC33	0.46841
PRKAA1	0.98292
RPL37	0.68965
CARD6	0.02092
C7	0.22924
MROH2B	0.17019
C6	0.64623
PLCXD3	2.22E-09
OXCT1	3.05E-12
RIMOC1	4.86E-15
FBXO4	4.78E-13
GHR	5.68E-14
CCDC152	5.00E-10
SELENOP	4.63E-10
ANXA2R	0.00018417
ZNF131	6.04E-10
NIM1K	1.60E-06
HMGCS1	0.02736
CCL28	0.012212
TMEM267	2.76E-08
C5orf34	4.26E-07
PAIP1	1.93E-12
NNT	1.56E-08
FGF10	0.073897
MRPS30	0.00016802
HCN1	0.019413
EMB	0.0009719
PARP8	0.0042043
ISL1	0.0029517
PELO	4.95E-09
ITGA1	2.23E-08
ITGA2	1.03E-10
MOCS2	5.38E-10
FST	5.00E-10
NDUFS4	0.0004308
ARL15	5.17E-08
HSPB3	0.59024
SNX18	0.24612
ESM1	0.013789
GZMK	1.72E-11
GZMA	5.00E-10
CDC20B	5.00E-10
GPX8	5.00E-10
MCIDAS	5.00E-10
CCNO	8.91E-33
DHX29	1.62E-15
MTREX	8.47E-14
PLPP1	1.56E-15
SLC38A9	5.00E-10
DDX4	2.20E-17
IL31RA	5.00E-10
IL6ST	6.20E-16
ANKRD55	0.0011659
C5orf67	7.12E-15
MAP3K1	5.00E-10
SETD9	5.00E-10
MIER3	3.53E-10
GPBP1	0.048469
ACTBL2	0.0043818
PLK2	0.0028822
GAPT	2.17E-05
RAB3C	8.16E-07
PDE4D	1.93E-17
DEPDC1B	0.00037237
ELOVL7	0.0011377
ERCC8	6.43E-05
NDUFAF2	3.15E-06
ZSWIM6	1.56E-08
C5orf64	8.60E-07
KIF2A	0.033169
DIMT1	0.00026762
IPO11	0.0001048
HTR1A	0.044873
RNF180	2.29E-07
RGS7BP	0.0015033
SHISAL2B	3.25E-08
SREK1IP1	0.013164
CWC27	4.66E-09
ADAMTS6	5.00E-10
CENPK	7.25E-06
PPWD1	0.00031544
TRIM23	0.00095404
TRAPPC13	0.0038128
SGTB	1.81E-12
NLN	2.35E-09
ERBIN	0.040384
SREK1	5.20E-05
MAST4	1.03E-13
CD180	0.00035455
PIK3R1	5.00E-10
SLC30A5	0.02313
CCNB1	2.95E-05
CENPH	0.00013584
MRPS36	0.0012433
CDK7	0.14272
CCDC125	0.28427
TAF9	0.90564
RAD17	0.75351
MARVELD2	0.76226
OCLN	0.078567
NAIP	0.26188
BDP1	0.00032277
MCCC2	3.03E-06
CARTPT	0.042017
MAP1B	8.17E-12
MRPS27	3.78E-13
PTCD2	6.82E-11
ZNF366	1.85E-15
TNPO1	2.49E-12
FCHO2	1.82E-16
TMEM171	9.25E-15
TMEM174	3.32E-05
BTF3	2.96E-06
ANKRA2	4.16E-06
UTP15	1.75E-05
ARHGEF28	7.39E-07
ENC1	0.056383
HEXB	3.72E-14
GFM2	2.88E-07
NSA2	0.00038771
FAM169A	8.63E-05
GCNT4	0.00019562
ANKRD31	0.05275
HMGCR	0.00015099
CERT1	3.62E-06
POLK	5.12E-06
ANKDD1B	5.63E-09
POC5	1.06E-08
SV2C	0.008556
IQGAP2	0.00051955
F2RL2	0.012581
F2R	0.031262
F2RL1	6.84E-07
S100Z	0.18439
CRHBP	0.29039
AGGF1	0.047964
ZBED3	0.14474
PDE8B	2.93E-08
WDR41	0.062505
OTP	0.096177
TBCA	0.064831
AP3B1	2.35E-14
SCAMP1	1.86E-15
LHFPL2	9.56E-15
ARSB	6.24E-15
DMGDH	4.59E-14
BHMT2	0.010515
BHMT	1.97E-14
JMY	2.64E-05
HOMER1	0.10705
TENT2	1.84E-15
CMYA5	0.0014803
MTX3	1.24E-05
THBS4	2.22E-07
SERINC5	7.87E-06
SPZ1	1.24E-09
ZFYVE16	2.10E-05
FAM151B	1.08E-15
ANKRD34B	0.036543
DHFR	4.25E-09
MSH3	1.65E-15
RASGRF2	2.15E-10
CKMT2	0.0051487
ZCCHC9	0.095449
ACOT12	0.012407
SSBP2	3.23E-16
ATG10	0.002161
RPS23	0.8019
ATP6AP1L	0.53868
TMEM167A	2.41E-05
XRCC4	1.98E-05
VCAN	0.0004889
HAPLN1	0.065741
EDIL3	0.0086974
COX7C	0.68693
RASA1	7.58E-06
CCNH	0.19143
TMEM161B	4.26E-09
MEF2C	6.69E-10
CETN3	0.24017
MBLAC2	0.083114
POLR3G	0.0015083
LYSMD3	0.063827
ADGRV1	8.94E-11
ARRDC3	0.021552
NR2F1	0.44552
FAM172A	0.00083493
KIAA0825	0.015961
SLF1	0.0070429
MCTP1	0.062283
FAM81B	0.091966
SKIC3	0.0012103
ARSK	0.010461
RFESD	0.045408
SPATA9	0.010616
RHOBTB3	0.023692
GLRX	7.21E-05
ELL2	0.015293
PCSK1	1.94E-15
CAST	2.32E-06
ERAP1	1.46E-10
ERAP2	0.0063573
NA	0.38328
LNPEP	2.97E-05
LIX1	0.066422
RIOK2	0.025955
RGMB	7.91E-08
CHD1	1.98E-05
FAM174A	0.00055265
ST8SIA4	0.00024363
SLCO4C1	2.31E-13
SLCO6A1	7.77E-13
PAM	5.00E-10
GIN1	1.74E-09
PPIP5K2	2.26E-16
MACIR	0.0010408
NUDT12	0.80699
EFNA5	1.56E-07
FBXL17	3.68E-16
FER	5.00E-10
PJA2	4.98E-05
MAN2A1	1.05E-07
TMEM232	0.76871
SLC25A46	0.6794
TSLP	0.0031348
WDR36	0.033479
CAMK4	0.0026547
STARD4	4.37E-12
NREP	1.10E-13
EPB41L4A	3.57E-08
APC	5.00E-10
SRP19	1.81E-15
REEP5	1.80E-15
DCP2	2.56E-15
MCC	3.66E-22
TSSK1B	0.0016179
YTHDC2	6.25E-12
KCNN2	0.019068
TRIM36	1.13E-07
PGGT1B	0.088938
CCDC112	0.41776
FEM1C	1.39E-09
TICAM2	7.97E-18
TMED7-TICAM2	1.54E-15
TMED7	5.00E-10
CDO1	0.10438
ATG12	4.41E-07
AP3S1	7.95E-13
LVRN	0.00030513
ARL14EPL	0.14432
COMMD10	0.046986
SEMA6A	0.0096152
DTWD2	0.075778
DMXL1	1.81E-05
TNFAIP8	0.00011513
HSD17B4	0.0027589
FAM170A	0.024139
PRR16	2.06E-06
FTMT	0.072848
SRFBP1	8.17E-16
LOX	4.12E-15
ZNF474	6.66E-07
LOC100505841	0.022082
SNCAIP	0.00040832
SNX2	0.73366
SNX24	0.20062
PPIC	0.30191
PRDM6	0.0003241
CEP120	5.00E-10
CSNK1G3	7.51E-15
ZNF608	5.00E-10
GRAMD2B	0.0006876
ALDH7A1	0.17218
PHAX	0.057804
TEX43	0.28966
LMNB1	0.00010415
MARCHF3	7.08E-07
C5orf63	0.00020038
MEGF10	3.34E-09
PRRC1	2.53E-10
CTXN3	0.016882
SLC12A2	2.38E-15
FBN2	1.39E-13
SLC27A6	0.0050508
ISOC1	2.03E-05
ADAMTS19	4.82E-14
MINAR2	5.00E-10
CHSY3	6.07E-12
HINT1	5.00E-10
LYRM7	2.96E-17
CDC42SE2	3.91E-17
RAPGEF6	1.88E-14
FNIP1	3.44E-17
MEIKIN	2.52E-15
ACSL6	5.00E-10
IL3	5.00E-10
CSF2	5.00E-10
P4HA2	5.00E-10
PDLIM4	5.00E-10
SLC22A4	5.00E-10
SLC22A5	5.00E-10
IRF1	5.00E-10
IL5	5.00E-10
RAD50	5.98E-17
IL13	4.03E-15
IL4	9.22E-10
KIF3A	1.65E-10
CCNI2	0.15058
SEPTIN8	0.0035768
SOWAHA	0.65933
SHROOM1	0.99708
GDF9	6.98E-06
UQCRQ	0.009388
LEAP2	0.0081761
AFF4	0.031402
ZCCHC10	0.49494
HSPA4	0.01729
FSTL4	1.62E-11
C5orf15	0.0050487
VDAC1	4.55E-05
TCF7	0.017681
SKP1	0.60776
PPP2CA	0.010371
CDKL3	0.0013919
UBE2B	0.0087871
CDKN2AIPNL	0.64608
JADE2	4.63E-14
SAR1B	5.00E-10
SEC24A	2.65E-14
CAMLG	5.00E-10
DDX46	2.07E-15
C5orf24	1.95E-06
TXNDC15	5.00E-10
PCBD2	2.43E-15
CATSPER3	5.00E-10
PITX1	5.00E-10
PITX1-AS1	5.00E-10
MACROH2A1	0.13597
DCANP1	0.017831
TIFAB	0.028409
NEUROG1	0.28683
CXCL14	0.92143
SLC25A48	9.70E-05
IL9	0.0024896
FBXL21P	1.04E-05
LECT2	1.36E-08
TGFBI	0.4856
SMAD5	0.0025922
TRPC7	8.46E-05
SPOCK1	0.03309
KLHL3	3.66E-07
HNRNPA0	0.14279
MYOT	0.042354
PKD2L2	0.0020926
FAM13B	0.001102
WNT8A	1.25E-07
NME5	2.61E-13
BRD8	4.90E-12
KIF20A	2.18E-16
CDC23	1.06E-13
GFRA3	3.87E-14
CDC25C	9.25E-12
FAM53C	2.95E-11
KDM3B	1.08E-11
REEP2	9.87E-15
EGR1	0.0059627
ETF1	0.41875
HSPA9	0.0069925
CTNNA1	0.090299
LRRTM2	0.54583
SIL1	0.00044236
MATR3	1.19E-09
SLC23A1	7.46E-09
SPATA24	5.00E-10
DNAJC18	7.63E-11
STING1	6.63E-18
UBE2D2	4.88E-12
CXXC5	5.00E-10
PSD2	1.47E-08
NRG2	7.74E-05
PURA	0.91535
CYSTM1	0.007629
PFDN1	0.0071357
HBEGF	3.54E-07
SLC4A9	8.49E-16
ANKHD1	4.31E-12
ANKHD1-EIF4EBP3	1.35E-12
EIF4EBP3	1.37E-07
SRA1	0.00062823
APBB3	1.97E-10
SLC35A4	1.01E-13
CD14	4.46E-19
TMCO6	1.80E-13
NDUFA2	4.13E-09
IK	2.43E-07
WDR55	1.09E-08
HARS1	1.85E-15
HARS2	3.15E-12
ZMAT2	6.11E-06
PCDHA1	4.52E-08
PCDHA2	4.27E-08
PCDHA3	4.34E-08
PCDHA4	7.05E-08
PCDHA5	1.07E-07
PCDHA6	1.16E-07
PCDHA7	1.54E-07
PCDHA8	2.28E-07
PCDHA9	2.28E-07
PCDHA10	2.22E-07
PCDHA11	2.98E-07
PCDHA12	3.33E-07
PCDHA13	2.02E-07
PCDHAC1	5.93E-08
PCDHAC2	2.37E-05
PCDHB1	0.27595
PCDHB2	0.035235
PCDHB3	1.69E-05
PCDHB4	0.00042363
PCDHB5	0.66463
PCDHB6	3.10E-11
PCDHB7	0.84595
PCDHB8	8.20E-07
PCDHB16	1.04E-10
PCDHB9	2.40E-09
PCDHB10	3.77E-07
PCDHB11	0.78996
PCDHB12	0.56301
PCDHB13	0.55102
PCDHB14	0.74404
SLC25A2	0.00057008
TAF7	1.13E-06
PCDHGA1	1.17E-08
PCDHGA2	3.34E-08
PCDHGA3	6.93E-08
PCDHGB1	8.53E-08
PCDHGA4	8.85E-08
PCDHGB2	9.44E-08
PCDHGA5	1.81E-07
PCDHGA6	1.90E-07
PCDHGB3	1.90E-07
PCDHGA7	2.35E-07
PCDHGA8	3.24E-07
PCDHGB4	3.24E-07
PCDHGB5	9.15E-08
PCDHGA9	2.97E-08
PCDHGB6	4.78E-08
PCDHGA10	2.93E-08
PCDHGB7	1.86E-08
PCDHGA11	2.41E-08
PCDHGA12	6.87E-09
PCDHGC3	2.51E-10
PCDHGC4	3.97E-09
PCDHGC5	3.07E-09
DIAPH1	2.98E-15
HDAC3	1.04E-08
RELL2	0.030751
FCHSD1	7.25E-07
ARAP3	7.47E-09
PCDH1	0.067808
DELE1	0.016531
PCDH12	0.26625
RNF14	0.14734
GNPDA1	0.060023
NDFIP1	3.71E-09
SPRY4	3.70E-10
FGF1	2.27E-15
ARHGAP26	8.43E-12
NR3C1	1.64E-23
HMHB1	1.27E-15
YIPF5	0.00040253
KCTD16	6.40E-06
PRELID2	0.37832
GRXCR2	0.12677
SH3RF2	0.44611
PLAC8L1	0.27319
LARS1	0.28061
RBM27	0.020822
POU4F3	0.56043
TCERG1	1.41E-06
GPR151	0.22437
PPP2R2B	2.53E-06
STK32A	0.092346
DPYSL3	0.095555
JAKMIP2	0.0001738
SPINK1	0.42028
SCGB3A2	0.23501
C5orf46	0.6383
SPINK5	0.13606
SPINK14	0.052563
SPINK6	0.13186
SPINK13	0.22213
SPINK7	0.0019456
SPINK9	0.0008943
FBXO38	0.00016405
HTR4	0.059861
ADRB2	0.0011459
SH3TC2	0.058192
ABLIM3	0.00060205
AFAP1L1	5.20E-15
GRPEL2	2.84E-11
PCYOX1L	5.00E-10
IL17B	1.84E-08
CSNK1A1	0.021347
ARHGEF37	0.075275
PPARGC1B	6.15E-05
PDE6A	5.47E-15
SLC26A2	0.0055212
TIGD6	0.058251
HMGXB3	0.074581
CSF1R	0.024326
PDGFRB	0.0012776
CDX1	0.00017904
SLC6A7	0.00014078
CAMK2A	5.33E-05
ARSI	0.23975
TCOF1	7.46E-14
CD74	7.69E-08
RPS14	0.12541
NDST1	9.19E-07
SYNPO	1.49E-07
MYOZ3	0.20953
RBM22	0.0047294
DCTN4	0.59292
SMIM3	0.22189
IRGM	0.053716
ZNF300	0.031267
GPX3	0.00011076
TNIP1	0.00010137
ANXA6	0.407
CCDC69	0.27188
GM2A	0.26852
SLC36A3	0.28255
SLC36A2	0.94188
SLC36A1	0.046355
FAT2	0.04054
SPARC	1.90E-05
ATOX1	9.74E-06
LOC100652758	7.23E-09
G3BP1	4.46E-06
GLRA1	0.0012938
NMUR2	0.37274
GRIA1	0.0050224
FAM114A2	0.02588
MFAP3	0.018327
GALNT10	0.0067746
SAP30L	5.85E-06
HAND1	0.0013793
LARP1	0.0085961
FAXDC2	0.080629
CNOT8	0.062862
GEMIN5	0.028729
MRPL22	0.046838
KIF4B	0.011059
SGCD	0.0026763
TIMD4	0.53149
HAVCR1	0.81264
HAVCR2	0.83508
MED7	0.74165
GARIN3	0.73543
ITK	0.00048173
CYFIP2	3.73E-15
FNDC9	1.86E-09
ADAM19	7.46E-06
NIPAL4	0.064072
SOX30	0.013667
C5orf52	0.18293
THG1L	0.34568
LSM11	0.39379
CLINT1	0.51692
EBF1	2.10E-12
RNF145	7.83E-07
UBLCP1	2.03E-09
IL12B	3.72E-06
ADRA1B	0.18799
TTC1	3.13E-11
PWWP2A	1.86E-13
FABP6	4.97E-10
CCNJL	0.00029002
C1QTNF2	0.4341
FAM200C	0.033156
SLU7	0.0075337
PTTG1	0.073824
ATP10B	0.15298
GABRB2	0.014331
GABRA6	0.13672
GABRA1	0.00012327
GABRG2	0.00030008
CCNG1	0.54673
NUDCD2	0.49593
HMMR	0.216
MAT2B	0.35422
TENM2	9.87E-15
WWC1	1.05E-07
RARS1	4.63E-05
PANK3	0.089801
SLIT3	9.10E-19
SPDL1	0.27843
DOCK2	0.084161
INSYN2B	0.042051
FOXI1	0.47791
C5orf58	0.0034503
LCP2	0.0029886
KCNIP1	0.022995
KCNMB1	0.52905
GABRP	0.02955
RANBP17	0.001916
NPM1	1.58E-08
FGF18	2.86E-14
SMIM23	5.00E-10
FBXW11	4.33E-17
STK10	5.00E-10
EFCAB9	0.0034719
UBTD2	8.34E-11
SH3PXD2B	1.25E-06
NEURL1B	0.001748
LOC101928093	0.090043
DUSP1	5.00E-10
ERGIC1	4.15E-13
RPL26L1	0.010782
ATP6V0E1	1.10E-13
CREBRF	2.07E-15
BNIP1	2.07E-14
NKX2-5	0.30234
STC2	6.30E-12
BOD1	3.41E-12
CPEB4	0.023673
C5orf47	0.056032
NSG2	0.095784
MSX2	0.27315
DRD1	0.0047052
SFXN1	0.00079448
HRH2	0.14575
CPLX2	0.018874
SIMC1	1.33E-14
KIAA1191	3.34E-11
ARL10	1.45E-11
NOP16	0.29663
HIGD2A	9.77E-10
CLTB	4.42E-15
FAF2	5.00E-10
RNF44	5.00E-10
CDHR2	0.00035719
GPRIN1	0.0038168
SNCB	0.56047
EIF4E1B	0.005387
TSPAN17	0.10708
UNC5A	8.00E-15
HK3	2.60E-15
UIMC1	2.59E-14
ZNF346	3.38E-16
FGFR4	5.00E-10
NA	1.84E-07
NSD1	1.77E-15
RAB24	5.00E-10
PRELID1	5.00E-10
MXD3	9.51E-15
LMAN2	5.00E-10
RGS14	4.13E-15
SLC34A1	5.00E-10
F12	5.00E-10
GRK6	2.75E-14
PRR7	2.68E-06
DBN1	4.25E-07
PDLIM7	6.51E-07
DOK3	2.28E-05
DDX41	5.00E-10
FAM193B	2.58E-05
TMED9	0.00011939
B4GALT7	4.02E-16
PROP1	5.00E-10
N4BP3	5.83E-10
RMND5B	1.10E-14
NHP2	2.09E-08
HNRNPAB	4.23E-11
PHYKPL	1.52E-15
COL23A1	1.86E-06
CLK4	0.043094
ZNF354A	0.28009
ZNF354B	5.85E-06
ZFP2	4.55E-06
ZNF454	1.01E-10
GRM6	2.46E-12
ZNF879	9.28E-16
ZNF354C	5.00E-10
ADAMTS2	1.89E-13
RUFY1	6.58E-08
HNRNPH1	2.32E-08
CANX	0.015485
MAML1	0.0011427
LTC4S	0.19996
MGAT4B	0.0007402
SQSTM1	4.91E-16
MRNIP	3.32E-14
TBC1D9B	2.92E-11
RNF130	1.10E-14
RASGEF1C	3.76E-15
MAPK9	1.96E-15
GFPT2	3.27E-15
CNOT6	0.0044209
FLT4	0.013774
OR2Y1	0.54504
MGAT1	8.36E-14
ZFP62	0.031306
BTNL8	0.0090768
BTNL3	0.12417
BTNL9	0.37217
OR2V1	0.14428
OR2V2	0.14496
TRIM7	2.42E-10
TRIM41	1.28E-11
RACK1	9.59E-08
TRIM52	5.75E-09
DUSP22	0.75026
IRF4	0.44737
EXOC2	2.04E-09
HUS1B	0.041684
FOXQ1	0.70516
FOXF2	0.0012475
FOXC1	0.0018713
GMDS	3.43E-26
MYLK4	9.84E-09
WRNIP1	0.073885
SERPINB1	0.17448
SERPINB9	0.015787
SERPINB6	0.82444
NQO2	0.17931
RIPK1	0.25808
BPHL	0.43491
TUBB2A	0.8117
TUBB2B	0.9943
PSMG4	0.026925
SLC22A23	6.02E-06
PXDC1	0.00053719
PRPF4B	0.21908
FAM217A	0.43055
TEX56P	0.76144
ECI2	0.7261
CDYL	0.44169
RPP40	0.18257
LYRM4	0.029928
FARS2	0.088138
NRN1	0.69677
F13A1	0.00067073
LY86	7.85E-05
RREB1	5.00E-10
SSR1	1.82E-15
CAGE1	2.57E-09
RIOK1	0.0035431
DSP	2.15E-06
SNRNP48	0.0077275
BMP6	5.00E-10
TXNDC5	2.86E-15
BLOC1S5	0.048896
EEF1E1	1.33E-07
SLC35B3	1.73E-07
OFCC1	7.28E-06
TFAP2A	0.040982
GCNT2	0.64405
C6orf52	0.54534
PAK1IP1	0.71434
TMEM14C	0.47832
TMEM14B	0.37543
MAK	0.054034
GCM2	0.030046
SYCP2L	0.0084394
ELOVL2	0.18065
SMIM13	0.088896
ERVFRD-1	0.052599
NEDD9	0.0014648
TMEM170B	0.0018531
ADTRP	0.0018384
HIVEP1	1.49E-15
EDN1	0.026965
PHACTR1	0.013044
LOC100130357	0.0080803
TBC1D7	0.0069761
GFOD1	0.22179
SIRT5	0.0010754
NOL7	2.31E-05
RANBP9	2.32E-07
MCUR1	0.0005279
RNF182	0.00064951
CD83	2.49E-06
JARID2	6.14E-14
DTNBP1	0.00043781
MYLIP	0.0098875
GMPR	0.019366
ATXN1	3.62E-13
ATXN1-AS1	0.051374
STMND1	0.013354
RBM24	0.10464
CAP2	2.29E-15
FAM8A1	4.24E-10
NUP153	1.33E-14
KIF13A	0.012435
TPMT	0.0004435
KDM1B	5.23E-07
DEK	0.065113
RNF144B	1.41E-10
ID4	5.00E-10
MBOAT1	4.43E-07
E2F3	1.12E-09
CDKAL1	1.01E-08
PRL	0.16531
HDGFL1	2.08E-05
NRSN1	0.035629
DCDC2	0.50789
KAAG1	0.042554
MRS2	0.12547
GPLD1	9.17E-05
ALDH5A1	0.0019101
KIAA0319	1.05E-09
TDP2	2.09E-05
ACOT13	8.82E-07
C6orf62	1.23E-05
GMNN	6.13E-05
RIPOR2	0.0010296
CARMIL1	3.98E-12
SCGN	5.00E-10
H2AC1	5.00E-10
H2BC1	5.00E-10
SLC17A4	5.00E-10
SLC17A1	5.00E-10
SLC17A3	5.00E-10
SLC17A2	2.99E-15
TRIM38	1.13E-15
H1-1	4.32E-06
H4C1	5.11E-10
H4C2	3.18E-34
H3C2	1.00E-50
H2AC4	4.14E-05
H1-2	5.00E-10
HFE	5.00E-10
H4C3	5.00E-10
H1-6	5.00E-10
H2BC4	5.00E-10
H2AC6	5.00E-10
H2BC5	5.00E-10
H2BC6	3.70E-29
H3C4	5.00E-10
H2BC8	0.31305
H3C6	0.55349
H1-3	0.20609
H2BC9	5.00E-10
H4C8	5.00E-10
BTN3A2	1.56E-11
BTN2A2	5.00E-10
BTN3A1	1.25E-15
BTN3A3	1.61E-15
BTN2A1	2.02E-15
BTN1A1	5.00E-10
HMGN4	5.00E-10
ABT1	5.00E-10
ZNF322	5.00E-10
H2BC11	5.00E-10
H2BC12	5.00E-10
H2AC12	5.69E-05
PRSS16	5.97E-11
POM121L2	5.24E-14
ZNF391	0.00014727
ZNF184	2.53E-06
H2BC13	5.52E-05
H3C10	1.00E-19
H2BC15	2.50E-10
H1-5	0.00034662
H3C11	0.0036624
H3C12	9.73E-14
H2BC17	5.00E-10
OR2B6	2.09E-05
ZNF165	5.00E-10
ZSCAN16	1.68E-11
ZKSCAN8	1.48E-15
ZSCAN9	1.37E-15
ZKSCAN4	1.52E-15
NKAPL	8.86E-11
ZSCAN26	2.42E-09
PGBD1	6.27E-16
ZSCAN31	4.92E-14
ZKSCAN3	1.47E-14
ZSCAN12	3.33E-13
ZSCAN23	0.00088793
GPX6	5.00E-10
GPX5	1.55E-13
SCAND3	5.00E-10
TRIM27	5.00E-10
ZNF311	6.61E-11
OR2W1	3.97E-28
OR2B3	8.40E-27
OR2J3	5.00E-10
OR2J2	0.065159
OR14J1	5.00E-10
OR5V1	6.49E-13
OR12D3	5.00E-10
